seine_id,survey_id,set_number,set_type,time_searching,set_time,lat,lon,so_taken,so_total,pi_taken,pi_total,cu_taken,cu_total,co_taken,co_total,he_taken,he_total,ck_taken,ck_total,preservation_status,collection_protocol,fish_retained,seine_comments,survey_date,site_id,region,zone,site_name,crew,precip,cloud_cover,sea_state,wind_speed,wind_direction,tide_state,survey_time_start,survey_time_end,ctd_cast_id,zoop_sample_id,secchi,net_sets,survey_type,survey_comments,sampling_week
DN215,DE115,2,targeted,17,13:00:00,50.18217,-125.1493,30,200,8,10,10,50,1,1,0,0,NA,NA,1,SEMSP,Yes,First set (40 fish) released due to net collapse. Second set targeted different school.,2015-05-21,D07,DI,C,Hoskyn Channel,"Carolyn Knapper, Luke Rogers, Kristi Inman, Samantha Crowley",none,0,2,10-15,NE,NA,NA,NA,NA,QPK1019,4.2,2,standard,NA,May 19
DN216,DE116,1,targeted,9,07:00:00,50.31962,-125.0395,29,29,0,0,10,40,1,2,1,1,NA,NA,1,SEMSP,Yes,NA,2015-05-23,D08,DI,W,Calm Channel,"Carolyn Knapper, Luke Rogers, Brett Johnson",none,100,1,0,NA,NA,NA,NA,NA,QPK1020,8.7,1,standard,NA,May 26
DN217,DE117,1,targeted,20,10:15:00,50.44365,-125.279,30,3000,2,10,2,100,0,0,1,10,NA,NA,1,SEMSP,Yes,NA,2015-05-23,D10,DI,W,Hall Point,"Carolyn Knapper, Luke Rogers, Brett Johnson",none,50,1,0.1-5,NW,NA,NA,NA,NA,QPK1021,11,1,standard,NA,May 26
DN218,DE118,NA,NA,7,13:15:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,SEMSP,No,From LR logbook,2015-05-23,D04,DI,W,Fransisco Point,"Carolyn Knapper, Luke Rogers, Brett Johnson",none,0,1,0.1-5,SE,NA,NA,NA,NA,NA,NA,0,standard,From LR logbook,May 26
DN219,DE119,NA,NA,12,14:32:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,SEMSP,No,From LR logbook,2015-05-23,D06,DI,W,Gowlland Harbour,"Carolyn Knapper, Luke Rogers, Brett Johnson",none,25,1,0.1-5,SE,NA,NA,NA,NA,NA,NA,0,standard,From LR logbook,May 26
DN220,DE120,2,targeted,25,08:40:00,50.34655,-125.45602,30,200,0,0,10,300,1,1,6,10,NA,NA,1,SEMSP,Yes,NA,2015-05-24,D11,DI,NA,Turn Island,"Carolyn Knapper, Luke Rogers, Brett Johnson, Katie Chan",none,50,1,5-10,W,NA,NA,NA,NA,QPK1022,9.8,2,standard,NA,May 26
DN221,DE121,1,targeted,47,12:10:00,50.30723,-125.33345,30,200,2,2,4,4,0,0,1,1,NA,NA,1,SEMSP,Yes,NA,2015-05-24,D09,DI,C,Okisollo Channel,"Carolyn Knapper, Luke Rogers, Brett Johnson, Katie Chan",none,0,1,0.1-5,SW,NA,NA,NA,NA,QPK1023,13.9,1,standard,NA,May 26
DN222,DE122,NA,NA,13,14:42:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,SEMSP,No,NA,2015-05-24,D07,DI,C,Hoskyn Channel,"Carolyn Knapper, Luke Rogers, Brett Johnson, Katie Chan",none,0,1,0.1-5,N,NA,NA,NA,NA,NA,NA,0,standard,NA,May 26
DN223,DE123,NA,NA,26,06:02:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,SEMSP,No,NA,2015-05-25,D03,DI,E,Sutil Narrows,"Luke Rogers, Brett Johnson, Kristi Inman, Katie Chan",none,100,1,0.1-5,NW,NA,NA,NA,NA,NA,NA,0,standard,NA,May 26
DN224,DE124,1,targeted,0,07:35:00,50.3153,-125.05186,30,200,0,0,10,40,0,0,0,0,NA,NA,1,SEMSP,Yes,NA,2015-05-25,D08,DI,W,Calm Channel,"Luke Rogers, Brett Johnson, Kristi Inman, Katie Chan",none,100,2,5-10,W,NA,NA,NA,NA,QPK1024,7.3,1,standard,NA,May 26
