ufn,sample_type,sample_id,container_id,container_cell,sample_location,comments_sample,sample_status,storage_medium,qc_flag,flag_reason,qc_log,ufn_sort
U27,scale,BSC2-15,BSC2,15,BSC2-15,NA,collected,Dry,N,NA,NA,27
U28,scale,BSC2-18,BSC2,18,BSC2-18,NA,collected,Dry,N,NA,NA,28
U29,scale,BSC2-21,BSC2,21,BSC2-21,NA,collected,Dry,N,NA,NA,29
U30,scale,BSC2-23,BSC2,23,BSC2-23,NA,collected,Dry,N,NA,NA,30
U31,scale,BSC2-4,BSC2,4,BSC2-4,NA,collected,Dry,N,NA,NA,31
U32,scale,BSC42-1,BSC42,1,BSC42-1,NA,collected,Dry,N,NA,NA,32
U33,scale,BSC42-2,BSC42,2,BSC42-2,NA,collected,Dry,N,NA,NA,33
U34,scale,BSC42-3,BSC42,3,BSC42-3,NA,collected,Dry,N,NA,NA,34
U35,scale,BSC2-7,BSC2,7,BSC2-7,NA,collected,Dry,N,NA,NA,35
U36,scale,BSC1-18,BSC1,18,BSC1-18,NA,collected,Dry,N,NA,NA,36
U37,scale,BSC2-10,BSC2,10,BSC2-10,NA,collected,Dry,N,NA,NA,37
U38,scale,BSC2-14,BSC2,14,BSC2-14,NA,collected,Dry,N,NA,NA,38
U40,scale,BSC2-22,BSC2,22,BSC2-22,NA,collected,Dry,N,NA,NA,40
U41,scale,BSC1-16,BSC1,16,BSC1-16,NA,collected,Dry,N,NA,NA,41
U42,scale,BSC2-8,BSC2,8,BSC2-8,NA,collected,Dry,N,NA,NA,42
U43,scale,BSC2-11,BSC2,11,BSC2-11,NA,collected,Dry,N,NA,NA,43
U45,scale,BSC2-13,BSC2,13,BSC2-13,NA,collected,Dry,N,NA,NA,45
U46,scale,BSC2-16,BSC2,16,BSC2-16,NA,collected,Dry,N,NA,NA,46
U47,scale,BSC2-20,BSC2,20,BSC2-20,NA,collected,Dry,N,NA,NA,47
U48,scale,BSC2-24,BSC2,24,BSC2-24,NA,collected,Dry,N,NA,NA,48
U49,scale,BSC2-26,BSC2,26,BSC2-26,NA,collected,Dry,N,NA,NA,49
U50,scale,BSC2-30,BSC2,30,BSC2-30,NA,collected,Dry,N,NA,NA,50
U51,scale,BSC2-25,BSC2,25,BSC2-25,NA,collected,Dry,N,NA,NA,51
U52,scale,BSC2-28,BSC2,28,BSC2-28,NA,collected,Dry,N,NA,NA,52
U53,scale,BSC2-33,BSC2,33,BSC2-33,NA,collected,Dry,N,NA,NA,53
