survey_id,line_out_depth,temperature,salinity,ysi_gather_lat,ysi_gather_long
JE197,0,10,28.9,NA,NA
JE198,0,10.7,28.8,50.55846,-126.732418
JE196,1,9.8,28.9,50.475954,-126.02681
JE197,1,9.8,28.9,NA,NA
JE198,1,10.9,28.8,50.55846,-126.732418
JE200,0,9.9,28.9,50.582124,-126.720846
JE199,0,10.6,28.6,50.547821,-126.677316
JE201,0,10.8,28.5,50.602285,-126.702922
JE202,0,11.8,29,50.544419,-126.817603
JE200,1,9.9,29,50.582124,-126.720846
JE201,1,10.3,28.7,50.602285,-126.702922
JE199,1,10.6,28.6,50.547821,-126.677316
JE202,1,11.1,28.9,50.544419,-126.817603
JE205,0,10.5,28.7,NA,NA
JE203,0,10.5,28.8,NA,NA
JE204,0,10.8,28.6,NA,NA
JE206,0,11,28.5,50.478533,-126.415897
JE205,1,10.4,28.7,NA,NA
JE203,1,10.4,28.8,NA,NA
JE204,1,10.4,28.9,NA,NA
JE206,1,10.9,28.5,50.478533,-126.415897
JE209,0,14.4,29.1,50.54436,-126.819082
JE207,0,10.3,28.9,50.557381,-126.731109
JE208,0,11.2,27.1,NA,NA
JE207,1,10.2,28.9,50.557381,-126.731109
JE208,1,11,27.2,NA,NA
JE209,1,11.5,29.2,50.54436,-126.819082
JE210,0,9.7,29.2,50.602528,-126.702007
JE211,0,11.9,28.9,50.542829,-126.641526
JE210,1,9.6,29.3,50.602528,-126.702007
JE211,1,11.7,28.8,50.542829,-126.641526
JE213,0,10.9,28.9,50.458408,-126.168236
JE212,0,11.8,28.6,50.479532,-126.416476
JE213,1,10.7,28.8,50.458408,-126.168236
JE212,1,11.6,28.5,50.479532,-126.416476
JE217,0,12.1,28.8,NA,NA
JE216,0,10.3,29,50.557964,-126.73213199999999
JE218,0,11.3,29.1,50.543587,-126.817736
JE216,1,10.2,29.1,50.557964,-126.73213199999999
JE217,1,11,28.9,NA,NA
JE218,1,11.2,29,50.543587,-126.817736
JE225,0,10.5,29.5,50.541362,-126.779813
JE225,1,10.4,29.3,50.541362,-126.779813
DE242,0,10,28.9,50.224243,-125.395419
DE242,1,10,28.9,50.224243,-125.395419
DE243,0,10.3,28.5,NA,NA
DE243,1,10.2,28.8,NA,NA
DE245,1,10,27.6,NA,NA
DE245,0,10,27.6,NA,NA
DE247,0,10.3,28.4,50.233673,-125.115045
DE247,1,10.2,28.4,50.233673,-125.115045
DE249,0,11.4,27.6,NA,NA
DE249,1,11.4,27.6,NA,NA
DE250,0,10.7,28.2,NA,NA
DE250,1,10.7,28.2,NA,NA
DE251,0,13.2,24.1,NA,NA
DE251,1,13,24.6,NA,NA
DE252,0,10,28.3,50.448247,-125.399584
DE252,1,10,28.5,50.448247,-125.399584
