semsp_id,ufn,seine_id,species,package_id,fish_time_out,fish_time_dewar,fork_length_field,height_field,weight_field,analysis_planned,dissection_status
2015-05-12-D01-SO-1,U344,DN200,SO,NA,NA,NA,NA,NA,NA,SEMSP,dissected
2015-05-12-D01-SO-2,U340,DN200,SO,NA,NA,NA,NA,NA,NA,SEMSP,dissected
2015-05-12-D01-SO-3,U352,DN200,SO,NA,NA,NA,NA,NA,NA,SEMSP,dissected
2015-05-12-D01-SO-4,U337,DN200,SO,NA,NA,NA,NA,NA,NA,SEMSP,dissected
2015-05-12-D01-SO-5,U339,DN200,SO,NA,NA,NA,NA,NA,NA,SEMSP,dissected
2015-05-12-D01-SO-6,U354,DN200,SO,NA,NA,NA,NA,NA,NA,SEMSP,dissected
2015-05-12-D01-SO-7,U345,DN200,SO,NA,NA,NA,NA,NA,NA,SEMSP,dissected
2015-05-12-D01-SO-8,U346,DN200,SO,NA,NA,NA,NA,NA,NA,SEMSP,dissected
2015-05-12-D01-SO-9,U353,DN200,SO,NA,NA,NA,NA,NA,NA,SEMSP,dissected
2015-05-12-D01-SO-10,U338,DN200,SO,NA,NA,NA,NA,NA,NA,SEMSP,dissected
2015-05-12-D01-SO-11,NA,DN200,SO,NA,NA,NA,NA,NA,NA,SEMSP,not dissected
2015-05-12-D01-SO-12,NA,DN200,SO,NA,NA,NA,NA,NA,NA,SEMSP,not dissected
2015-05-12-D01-SO-13,NA,DN200,SO,NA,NA,NA,NA,NA,NA,SEMSP,not dissected
2015-05-12-D01-SO-14,NA,DN200,SO,NA,NA,NA,NA,NA,NA,SEMSP,not dissected
2015-05-12-D01-SO-15,NA,DN200,SO,NA,NA,NA,NA,NA,NA,SEMSP,not dissected
2015-05-12-D01-SO-16,NA,DN200,SO,NA,NA,NA,NA,NA,NA,SEMSP,not dissected
2015-05-12-D01-SO-17,NA,DN200,SO,NA,NA,NA,NA,NA,NA,SEMSP,not dissected
2015-05-12-D01-SO-18,NA,DN200,SO,NA,NA,NA,NA,NA,NA,SEMSP,not dissected
2015-05-12-D01-SO-19,NA,DN200,SO,NA,NA,NA,NA,NA,NA,SEMSP,not dissected
2015-05-12-D01-SO-20,NA,DN200,SO,NA,NA,NA,NA,NA,NA,SEMSP,not dissected
2015-05-12-D01-SO-21,NA,DN200,SO,NA,NA,NA,NA,NA,NA,SEMSP,not dissected
2015-05-12-D01-SO-22,NA,DN200,SO,NA,NA,NA,NA,NA,NA,SEMSP,not dissected
2015-05-12-D01-SO-23,NA,DN200,SO,NA,NA,NA,NA,NA,NA,SEMSP,not dissected
2015-05-12-D01-SO-24,NA,DN200,SO,NA,NA,NA,NA,NA,NA,SEMSP,not dissected
2015-05-12-D01-SO-25,NA,DN200,SO,NA,NA,NA,NA,NA,NA,SEMSP,not dissected
2015-05-12-D01-SO-26,NA,DN200,SO,NA,NA,NA,NA,NA,NA,SEMSP,not dissected
2015-05-12-D01-SO-27,NA,DN200,SO,NA,NA,NA,NA,NA,NA,SEMSP,not dissected
2015-05-12-D01-SO-28,NA,DN200,SO,NA,NA,NA,NA,NA,NA,SEMSP,not dissected
2015-05-12-D01-SO-29,NA,DN200,SO,NA,NA,NA,NA,NA,NA,SEMSP,not dissected
2015-05-12-D01-SO-30,NA,DN200,SO,NA,NA,NA,NA,NA,NA,SEMSP,not dissected
2015-05-12-D01-CU-1,NA,DN200,CU,NA,NA,NA,NA,NA,NA,SEMSP,not dissected
2015-05-12-D01-CU-2,NA,DN200,CU,NA,NA,NA,NA,NA,NA,SEMSP,not dissected
2015-05-12-D01-CU-3,NA,DN200,CU,NA,NA,NA,NA,NA,NA,SEMSP,not dissected
2015-05-12-D01-CU-4,NA,DN200,CU,NA,NA,NA,NA,NA,NA,SEMSP,not dissected
2015-05-12-D01-CU-5,NA,DN200,CU,NA,NA,NA,NA,NA,NA,SEMSP,not dissected
2015-05-12-D01-CU-6,NA,DN200,CU,NA,NA,NA,NA,NA,NA,SEMSP,not dissected
2015-05-12-D01-CU-7,NA,DN200,CU,NA,NA,NA,NA,NA,NA,SEMSP,not dissected
2015-05-12-D01-CU-8,NA,DN200,CU,NA,NA,NA,NA,NA,NA,SEMSP,not dissected
2015-05-12-D01-CU-9,NA,DN200,CU,NA,NA,NA,NA,NA,NA,SEMSP,not dissected
2015-05-12-D01-CU-10,NA,DN200,CU,NA,NA,NA,NA,NA,NA,SEMSP,not dissected
2015-05-12-D01-CO-1,NA,DN200,CO,NA,NA,NA,NA,NA,NA,SEMSP,not dissected
2015-05-12-D01-HE-1,NA,DN200,HE,NA,NA,NA,NA,NA,NA,SEMSP,not dissected
2015-05-12-D01-HE-2,NA,DN200,HE,NA,NA,NA,NA,NA,NA,SEMSP,not dissected
2015-05-13-D02-SO-1,U418,DN201,SO,NA,NA,NA,NA,NA,NA,SEMSP,dissected
2015-05-13-D02-SO-2,U419,DN201,SO,NA,NA,NA,NA,NA,NA,SEMSP,dissected
