semsp_id,ufn,seine_id,species,package_id,fish_time_out,fish_time_dewar,fork_length_field,height_field,weight_field,analysis_planned,dissection_status
2015-05-13-D02-SO-3,U322,DN201,SO,NA,NA,NA,NA,NA,NA,SEMSP,dissected
2015-05-13-D02-SO-4,U420,DN201,SO,NA,NA,NA,NA,NA,NA,SEMSP,dissected
2015-05-13-D02-SO-5,U426,DN201,SO,NA,NA,NA,NA,NA,NA,SEMSP,dissected
2015-05-13-D02-SO-6,U324,DN201,SO,NA,NA,NA,NA,NA,NA,SEMSP,dissected
2015-05-13-D02-SO-7,U431,DN201,SO,NA,NA,NA,NA,NA,NA,SEMSP,dissected
2015-05-13-D02-SO-8,U323,DN201,SO,NA,NA,NA,NA,NA,NA,SEMSP,dissected
2015-05-13-D02-SO-9,U417,DN201,SO,NA,NA,NA,NA,NA,NA,SEMSP,dissected
2015-05-13-D02-SO-10,U425,DN201,SO,NA,NA,NA,NA,NA,NA,SEMSP,dissected
2015-05-13-D02-SO-11,NA,DN201,SO,NA,NA,NA,NA,NA,NA,SEMSP,not dissected
2015-05-13-D02-SO-12,NA,DN201,SO,NA,NA,NA,NA,NA,NA,SEMSP,not dissected
2015-05-13-D02-SO-13,NA,DN201,SO,NA,NA,NA,NA,NA,NA,SEMSP,not dissected
2015-05-13-D02-SO-14,NA,DN201,SO,NA,NA,NA,NA,NA,NA,SEMSP,not dissected
2015-05-13-D02-SO-15,NA,DN201,SO,NA,NA,NA,NA,NA,NA,SEMSP,not dissected
2015-05-13-D02-SO-16,NA,DN201,SO,NA,NA,NA,NA,NA,NA,SEMSP,not dissected
2015-05-13-D02-SO-17,NA,DN201,SO,NA,NA,NA,NA,NA,NA,SEMSP,not dissected
2015-05-13-D02-SO-18,NA,DN201,SO,NA,NA,NA,NA,NA,NA,SEMSP,not dissected
2015-05-13-D02-SO-19,NA,DN201,SO,NA,NA,NA,NA,NA,NA,SEMSP,not dissected
2015-05-13-D02-SO-20,NA,DN201,SO,NA,NA,NA,NA,NA,NA,SEMSP,not dissected
2015-05-13-D02-SO-21,NA,DN201,SO,NA,NA,NA,NA,NA,NA,SEMSP,not dissected
2015-05-13-D02-SO-22,NA,DN201,SO,NA,NA,NA,NA,NA,NA,SEMSP,not dissected
2015-05-13-D02-SO-23,NA,DN201,SO,NA,NA,NA,NA,NA,NA,SEMSP,not dissected
2015-05-13-D02-SO-24,NA,DN201,SO,NA,NA,NA,NA,NA,NA,SEMSP,not dissected
2015-05-13-D02-SO-25,NA,DN201,SO,NA,NA,NA,NA,NA,NA,SEMSP,not dissected
2015-05-13-D02-SO-26,NA,DN201,SO,NA,NA,NA,NA,NA,NA,SEMSP,not dissected
2015-05-13-D02-SO-27,NA,DN201,SO,NA,NA,NA,NA,NA,NA,SEMSP,not dissected
2015-05-13-D02-SO-28,NA,DN201,SO,NA,NA,NA,NA,NA,NA,SEMSP,not dissected
2015-05-13-D02-SO-29,NA,DN201,SO,NA,NA,NA,NA,NA,NA,SEMSP,not dissected
2015-05-13-D02-SO-30,NA,DN201,SO,NA,NA,NA,NA,NA,NA,SEMSP,not dissected
2015-05-13-D02-CU-1,NA,DN201,CU,NA,NA,NA,NA,NA,NA,SEMSP,not dissected
2015-05-13-D02-CU-2,NA,DN201,CU,NA,NA,NA,NA,NA,NA,SEMSP,not dissected
2015-05-13-D02-CU-3,NA,DN201,CU,NA,NA,NA,NA,NA,NA,SEMSP,not dissected
2015-05-13-D02-CU-4,NA,DN201,CU,NA,NA,NA,NA,NA,NA,SEMSP,not dissected
2015-05-13-D02-CU-5,NA,DN201,CU,NA,NA,NA,NA,NA,NA,SEMSP,not dissected
2015-05-13-D02-CU-6,NA,DN201,CU,NA,NA,NA,NA,NA,NA,SEMSP,not dissected
2015-05-13-D02-CU-7,NA,DN201,CU,NA,NA,NA,NA,NA,NA,SEMSP,not dissected
2015-05-13-D02-CU-8,NA,DN201,CU,NA,NA,NA,NA,NA,NA,SEMSP,not dissected
2015-05-13-D02-CU-9,NA,DN201,CU,NA,NA,NA,NA,NA,NA,SEMSP,not dissected
2015-05-13-D02-CU-10,NA,DN201,CU,NA,NA,NA,NA,NA,NA,SEMSP,not dissected
2015-05-14-D04-SO-1,NA,DN202,SO,NA,NA,NA,NA,NA,NA,SEMSP,not dissected
2015-05-14-D04-SO-2,NA,DN202,SO,NA,NA,NA,NA,NA,NA,SEMSP,not dissected
2015-05-14-D04-SO-3,NA,DN202,SO,NA,NA,NA,NA,NA,NA,SEMSP,not dissected
2015-05-14-D04-SO-4,NA,DN202,SO,NA,NA,NA,NA,NA,NA,SEMSP,not dissected
2015-05-14-D04-SO-5,NA,DN202,SO,NA,NA,NA,NA,NA,NA,SEMSP,not dissected
2015-05-14-D04-SO-6,NA,DN202,SO,NA,NA,NA,NA,NA,NA,SEMSP,not dissected
2015-05-14-D04-SO-7,NA,DN202,SO,NA,NA,NA,NA,NA,NA,SEMSP,not dissected
2015-05-14-D04-SO-8,NA,DN202,SO,NA,NA,NA,NA,NA,NA,SEMSP,not dissected
2015-05-14-D04-SO-9,NA,DN202,SO,NA,NA,NA,NA,NA,NA,SEMSP,not dissected
2015-05-14-D04-SO-10,NA,DN202,SO,NA,NA,NA,NA,NA,NA,SEMSP,not dissected
2015-05-14-D04-SO-11,NA,DN202,SO,NA,NA,NA,NA,NA,NA,SEMSP,not dissected
2015-05-14-D04-SO-12,NA,DN202,SO,NA,NA,NA,NA,NA,NA,SEMSP,not dissected
2015-05-14-D04-SO-13,NA,DN202,SO,NA,NA,NA,NA,NA,NA,SEMSP,not dissected
2015-05-14-D04-SO-14,NA,DN202,SO,NA,NA,NA,NA,NA,NA,SEMSP,not dissected
2015-05-14-D04-SO-15,NA,DN202,SO,NA,NA,NA,NA,NA,NA,SEMSP,not dissected
2015-05-14-D04-SO-16,NA,DN202,SO,NA,NA,NA,NA,NA,NA,SEMSP,not dissected
2015-05-14-D04-SO-17,NA,DN202,SO,NA,NA,NA,NA,NA,NA,SEMSP,not dissected
2015-05-14-D04-SO-18,NA,DN202,SO,NA,NA,NA,NA,NA,NA,SEMSP,not dissected
2015-05-14-D04-SO-19,NA,DN202,SO,NA,NA,NA,NA,NA,NA,SEMSP,not dissected
2015-05-14-D04-SO-20,NA,DN202,SO,NA,NA,NA,NA,NA,NA,SEMSP,not dissected
2015-05-14-D04-SO-21,U386,DN202,SO,NA,NA,NA,NA,NA,NA,SEMSP,dissected
2015-05-14-D04-SO-22,U385,DN202,SO,NA,NA,NA,NA,NA,NA,SEMSP,dissected
2015-05-14-D04-SO-23,U392,DN202,SO,NA,NA,NA,NA,NA,NA,SEMSP,dissected
2015-05-14-D04-SO-24,U395,DN202,SO,NA,NA,NA,NA,NA,NA,SEMSP,dissected
2015-05-14-D04-SO-25,U388,DN202,SO,NA,NA,NA,NA,NA,NA,SEMSP,dissected
2015-05-14-D04-SO-26,U384,DN202,SO,NA,NA,NA,NA,NA,NA,SEMSP,dissected
2015-05-14-D04-SO-27,U389,DN202,SO,NA,NA,NA,NA,NA,NA,SEMSP,dissected
2015-05-14-D04-SO-28,U387,DN202,SO,NA,NA,NA,NA,NA,NA,SEMSP,dissected
2015-05-14-D04-SO-29,U393,DN202,SO,NA,NA,NA,NA,NA,NA,SEMSP,dissected
2015-05-14-D04-SO-30,U391,DN202,SO,NA,NA,NA,NA,NA,NA,SEMSP,dissected
2015-05-14-D04-HE-1,NA,DN202,HE,NA,NA,NA,NA,NA,NA,SEMSP,not dissected
2015-05-14-D04-HE-2,NA,DN202,HE,NA,NA,NA,NA,NA,NA,SEMSP,not dissected
2015-05-14-D04-HE-3,NA,DN202,HE,NA,NA,NA,NA,NA,NA,SEMSP,not dissected
2015-05-14-D04-HE-4,NA,DN202,HE,NA,NA,NA,NA,NA,NA,SEMSP,not dissected
2015-05-14-D04-HE-5,NA,DN202,HE,NA,NA,NA,NA,NA,NA,SEMSP,not dissected
2015-05-14-D04-HE-6,NA,DN202,HE,NA,NA,NA,NA,NA,NA,SEMSP,not dissected
2015-05-14-D04-HE-7,NA,DN202,HE,NA,NA,NA,NA,NA,NA,SEMSP,not dissected
2015-05-15-D05-SO-1,NA,DN203,SO,NA,NA,NA,NA,NA,NA,SEMSP,not dissected
2015-05-15-D05-SO-2,NA,DN203,SO,NA,NA,NA,NA,NA,NA,SEMSP,not dissected
2015-05-15-D05-SO-3,NA,DN203,SO,NA,NA,NA,NA,NA,NA,SEMSP,not dissected
2015-05-15-D05-SO-4,NA,DN203,SO,NA,NA,NA,NA,NA,NA,SEMSP,not dissected
2015-05-15-D05-SO-5,NA,DN203,SO,NA,NA,NA,NA,NA,NA,SEMSP,not dissected
2015-05-15-D05-SO-6,NA,DN203,SO,NA,NA,NA,NA,NA,NA,SEMSP,not dissected
2015-05-15-D05-SO-7,NA,DN203,SO,NA,NA,NA,NA,NA,NA,SEMSP,not dissected
2015-05-15-D05-SO-8,NA,DN203,SO,NA,NA,NA,NA,NA,NA,SEMSP,not dissected
2015-05-15-D05-SO-9,NA,DN203,SO,NA,NA,NA,NA,NA,NA,SEMSP,not dissected
2015-05-15-D05-SO-10,NA,DN203,SO,NA,NA,NA,NA,NA,NA,SEMSP,not dissected
2015-05-15-D05-SO-11,NA,DN203,SO,NA,NA,NA,NA,NA,NA,SEMSP,not dissected
2015-05-15-D05-SO-12,NA,DN203,SO,NA,NA,NA,NA,NA,NA,SEMSP,not dissected
2015-05-15-D05-SO-13,NA,DN203,SO,NA,NA,NA,NA,NA,NA,SEMSP,not dissected
2015-05-15-D05-SO-14,U99,DN203,SO,NA,NA,NA,NA,NA,NA,SEMSP,dissected
2015-05-15-D05-SO-15,NA,DN203,SO,NA,NA,NA,NA,NA,NA,SEMSP,not dissected
2015-05-15-D05-SO-16,NA,DN203,SO,NA,NA,NA,NA,NA,NA,SEMSP,not dissected
2015-05-15-D05-SO-17,NA,DN203,SO,NA,NA,NA,NA,NA,NA,SEMSP,not dissected
2015-05-15-D05-SO-18,NA,DN203,SO,NA,NA,NA,NA,NA,NA,SEMSP,not dissected
2015-05-15-D05-SO-19,NA,DN203,SO,NA,NA,NA,NA,NA,NA,SEMSP,not dissected
2015-05-15-D05-SO-20,NA,DN203,SO,NA,NA,NA,NA,NA,NA,SEMSP,not dissected
2015-05-15-D05-SO-21,U214,DN203,SO,NA,NA,NA,NA,NA,NA,SEMSP,dissected
2015-05-15-D05-SO-22,U231,DN203,SO,NA,NA,NA,NA,NA,NA,SEMSP,dissected
2015-05-15-D05-SO-23,U232,DN203,SO,NA,NA,NA,NA,NA,NA,SEMSP,dissected
2015-05-15-D05-SO-24,U208,DN203,SO,NA,NA,NA,NA,NA,NA,SEMSP,dissected
2015-05-15-D05-SO-25,U213,DN203,SO,NA,NA,NA,NA,NA,NA,SEMSP,dissected
2015-05-15-D05-SO-26,U209,DN203,SO,NA,NA,NA,NA,NA,NA,SEMSP,dissected
2015-05-15-D05-SO-27,U207,DN203,SO,NA,NA,NA,NA,NA,NA,SEMSP,dissected
2015-05-15-D05-SO-28,U215,DN203,SO,NA,NA,NA,NA,NA,NA,SEMSP,dissected
2015-05-15-D05-SO-29,U127,DN203,SO,NA,NA,NA,NA,NA,NA,SEMSP,dissected
2015-05-15-D05-SO-30,U200,DN203,SO,NA,NA,NA,NA,NA,NA,SEMSP,dissected
2015-05-15-D02-SO-1,NA,DN204,SO,NA,NA,NA,NA,NA,NA,SEMSP,not dissected
2015-05-15-D02-SO-2,NA,DN204,SO,NA,NA,NA,NA,NA,NA,SEMSP,not dissected
2015-05-15-D02-SO-3,U367,DN204,SO,NA,NA,NA,NA,NA,NA,SEMSP,dissected
2015-05-15-D02-SO-4,NA,DN204,SO,NA,NA,NA,NA,NA,NA,SEMSP,not dissected
2015-05-15-D02-SO-5,NA,DN204,SO,NA,NA,NA,NA,NA,NA,SEMSP,not dissected
2015-05-15-D02-SO-6,NA,DN204,SO,NA,NA,NA,NA,NA,NA,SEMSP,not dissected
2015-05-15-D02-SO-7,NA,DN204,SO,NA,NA,NA,NA,NA,NA,SEMSP,not dissected
2015-05-15-D02-SO-8,NA,DN204,SO,NA,NA,NA,NA,NA,NA,SEMSP,not dissected
2015-05-15-D02-SO-9,NA,DN204,SO,NA,NA,NA,NA,NA,NA,SEMSP,not dissected
2015-05-15-D02-SO-10,NA,DN204,SO,NA,NA,NA,NA,NA,NA,SEMSP,not dissected
2015-05-15-D02-SO-11,U364,DN204,SO,NA,NA,NA,NA,NA,NA,SEMSP,dissected
2015-05-15-D02-SO-12,U373,DN204,SO,NA,NA,NA,NA,NA,NA,SEMSP,dissected
2015-05-15-D02-SO-13,U359,DN204,SO,NA,NA,NA,NA,NA,NA,SEMSP,dissected
2015-05-15-D02-SO-14,U371,DN204,SO,NA,NA,NA,NA,NA,NA,SEMSP,dissected
2015-05-15-D02-SO-15,U358,DN204,SO,NA,NA,NA,NA,NA,NA,SEMSP,dissected
2015-05-15-D02-SO-16,U366,DN204,SO,NA,NA,NA,NA,NA,NA,SEMSP,dissected
2015-05-15-D02-SO-17,U372,DN204,SO,NA,NA,NA,NA,NA,NA,SEMSP,dissected
2015-05-15-D02-SO-18,U360,DN204,SO,NA,NA,NA,NA,NA,NA,SEMSP,dissected
2015-05-15-D02-SO-19,U374,DN204,SO,NA,NA,NA,NA,NA,NA,SEMSP,dissected
2015-05-15-D02-SO-20,U365,DN204,SO,NA,NA,NA,NA,NA,NA,SEMSP,dissected
2015-05-15-D02-SO-21,NA,DN204,SO,NA,NA,NA,NA,NA,NA,SEMSP,not dissected
2015-05-15-D02-SO-22,NA,DN204,SO,NA,NA,NA,NA,NA,NA,SEMSP,not dissected
2015-05-15-D02-SO-23,NA,DN204,SO,NA,NA,NA,NA,NA,NA,SEMSP,not dissected
2015-05-15-D02-SO-24,NA,DN204,SO,NA,NA,NA,NA,NA,NA,SEMSP,not dissected
2015-05-15-D02-SO-25,NA,DN204,SO,NA,NA,NA,NA,NA,NA,SEMSP,not dissected
2015-05-15-D02-SO-26,NA,DN204,SO,NA,NA,NA,NA,NA,NA,SEMSP,not dissected
2015-05-15-D02-SO-27,NA,DN204,SO,NA,NA,NA,NA,NA,NA,SEMSP,not dissected
2015-05-15-D02-SO-28,NA,DN204,SO,NA,NA,NA,NA,NA,NA,SEMSP,not dissected
2015-05-15-D02-SO-29,NA,DN204,SO,NA,NA,NA,NA,NA,NA,SEMSP,not dissected
2015-05-15-D02-SO-30,NA,DN204,SO,NA,NA,NA,NA,NA,NA,SEMSP,not dissected
2015-05-15-D03-SO-1,NA,DN205,SO,NA,NA,NA,NA,NA,NA,SEMSP,not dissected
2015-05-15-D03-SO-2,NA,DN205,SO,NA,NA,NA,NA,NA,NA,SEMSP,not dissected
2015-05-15-D03-SO-3,NA,DN205,SO,NA,NA,NA,NA,NA,NA,SEMSP,not dissected
2015-05-15-D03-SO-4,NA,DN205,SO,NA,NA,NA,NA,NA,NA,SEMSP,not dissected
2015-05-15-D03-SO-5,NA,DN205,SO,NA,NA,NA,NA,NA,NA,SEMSP,not dissected
2015-05-15-D03-SO-6,NA,DN205,SO,NA,NA,NA,NA,NA,NA,SEMSP,not dissected
2015-05-15-D03-SO-7,NA,DN205,SO,NA,NA,NA,NA,NA,NA,SEMSP,not dissected
2015-05-15-D03-SO-8,NA,DN205,SO,NA,NA,NA,NA,NA,NA,SEMSP,not dissected
2015-05-15-D03-SO-9,NA,DN205,SO,NA,NA,NA,NA,NA,NA,SEMSP,not dissected
2015-05-15-D03-SO-10,NA,DN205,SO,NA,NA,NA,NA,NA,NA,SEMSP,not dissected
2015-05-15-D03-SO-11,U268,DN205,SO,NA,NA,NA,NA,NA,NA,SEMSP,dissected
2015-05-15-D03-SO-12,NA,DN205,SO,NA,NA,NA,NA,NA,NA,SEMSP,not dissected
2015-05-15-D03-SO-13,U269,DN205,SO,NA,NA,NA,NA,NA,NA,SEMSP,dissected
2015-05-15-D03-SO-14,NA,DN205,SO,NA,NA,NA,NA,NA,NA,SEMSP,not dissected
2015-05-15-D03-SO-15,U291,DN205,SO,NA,NA,NA,NA,NA,NA,SEMSP,dissected
2015-05-15-D03-SO-16,U278,DN205,SO,NA,NA,NA,NA,NA,NA,SEMSP,dissected
2015-05-15-D03-SO-17,U270,DN205,SO,NA,NA,NA,NA,NA,NA,SEMSP,dissected
2015-05-15-D03-SO-18,U280,DN205,SO,NA,NA,NA,NA,NA,NA,SEMSP,dissected
2015-05-15-D03-SO-19,U279,DN205,SO,NA,NA,NA,NA,NA,NA,SEMSP,dissected
2015-05-15-D03-SO-20,U290,DN205,SO,NA,NA,NA,NA,NA,NA,SEMSP,dissected
2015-05-15-D03-SO-21,NA,DN205,SO,NA,NA,NA,NA,NA,NA,SEMSP,not dissected
2015-05-15-D03-SO-22,NA,DN205,SO,NA,NA,NA,NA,NA,NA,SEMSP,not dissected
2015-05-15-D03-SO-23,U1060,DN205,SO,NA,NA,NA,NA,NA,NA,SEMSP,dissected
2015-05-15-D03-SO-24,U1082,DN205,SO,NA,NA,NA,NA,NA,NA,SEMSP,dissected
2015-05-15-D03-SO-25,NA,DN205,SO,NA,NA,NA,NA,NA,NA,SEMSP,not dissected
2015-05-15-D03-SO-26,NA,DN205,SO,NA,NA,NA,NA,NA,NA,SEMSP,not dissected
2015-05-15-D03-SO-27,NA,DN205,SO,NA,NA,NA,NA,NA,NA,SEMSP,not dissected
2015-05-15-D03-SO-28,NA,DN205,SO,NA,NA,NA,NA,NA,NA,SEMSP,not dissected
2015-05-15-D03-SO-29,NA,DN205,SO,NA,NA,NA,NA,NA,NA,SEMSP,not dissected
2015-05-15-D03-SO-30,NA,DN205,SO,NA,NA,NA,NA,NA,NA,SEMSP,not dissected
2015-05-15-D05-PI-1,NA,DN203,PI,NA,NA,NA,NA,NA,NA,SEMSP,not dissected
2015-05-15-D05-CU-1,NA,DN203,CU,NA,NA,NA,NA,NA,NA,SEMSP,not dissected
2015-05-15-D05-CU-2,NA,DN203,CU,NA,NA,NA,NA,NA,NA,SEMSP,not dissected
2015-05-15-D05-CU-3,NA,DN203,CU,NA,NA,NA,NA,NA,NA,SEMSP,not dissected
2015-05-15-D05-CU-4,NA,DN203,CU,NA,NA,NA,NA,NA,NA,SEMSP,not dissected
2015-05-15-D05-CU-5,NA,DN203,CU,NA,NA,NA,NA,NA,NA,SEMSP,not dissected
2015-05-15-D02-CU-1,NA,DN204,CU,NA,NA,NA,NA,NA,NA,SEMSP,not dissected
2015-05-15-D02-CU-2,NA,DN204,CU,NA,NA,NA,NA,NA,NA,SEMSP,not dissected
2015-05-15-D02-CU-3,NA,DN204,CU,NA,NA,NA,NA,NA,NA,SEMSP,not dissected
2015-05-15-D02-CU-4,NA,DN204,CU,NA,NA,NA,NA,NA,NA,SEMSP,not dissected
2015-05-15-D02-CU-5,NA,DN204,CU,NA,NA,NA,NA,NA,NA,SEMSP,not dissected
2015-05-15-D02-CU-6,NA,DN204,CU,NA,NA,NA,NA,NA,NA,SEMSP,not dissected
2015-05-15-D02-CU-7,NA,DN204,CU,NA,NA,NA,NA,NA,NA,SEMSP,not dissected
2015-05-15-D02-CU-8,NA,DN204,CU,NA,NA,NA,NA,NA,NA,SEMSP,not dissected
2015-05-15-D02-CU-9,NA,DN204,CU,NA,NA,NA,NA,NA,NA,SEMSP,not dissected
2015-05-15-D02-CU-10,NA,DN204,CU,NA,NA,NA,NA,NA,NA,SEMSP,not dissected
2015-05-15-D03-CU-1,NA,DN205,CU,NA,NA,NA,NA,NA,NA,SEMSP,not dissected
2015-05-15-D03-CU-2,NA,DN205,CU,NA,NA,NA,NA,NA,NA,SEMSP,not dissected
2015-05-15-D03-CU-3,NA,DN205,CU,NA,NA,NA,NA,NA,NA,SEMSP,not dissected
2015-05-15-D03-CU-4,NA,DN205,CU,NA,NA,NA,NA,NA,NA,SEMSP,not dissected
2015-05-15-D03-CU-5,NA,DN205,CU,NA,NA,NA,NA,NA,NA,SEMSP,not dissected
2015-05-15-D03-CU-6,NA,DN205,CU,NA,NA,NA,NA,NA,NA,SEMSP,not dissected
2015-05-15-D03-CU-7,NA,DN205,CU,NA,NA,NA,NA,NA,NA,SEMSP,not dissected
2015-05-15-D03-CU-8,NA,DN205,CU,NA,NA,NA,NA,NA,NA,SEMSP,not dissected
2015-05-15-D03-CU-9,NA,DN205,CU,NA,NA,NA,NA,NA,NA,SEMSP,not dissected
2015-05-15-D03-CU-10,NA,DN205,CU,NA,NA,NA,NA,NA,NA,SEMSP,not dissected
2015-05-15-D02-HE-1,NA,DN204,HE,NA,NA,NA,NA,NA,NA,SEMSP,not dissected
2015-05-15-D03-HE-1,NA,DN205,HE,NA,NA,NA,NA,NA,NA,SEMSP,not dissected
2015-05-15-D03-HE-2,NA,DN205,HE,NA,NA,NA,NA,NA,NA,SEMSP,not dissected
2015-05-16-D06-SO-1,NA,DN206,SO,NA,NA,NA,NA,NA,NA,SEMSP,not dissected
2015-05-16-D06-SO-2,NA,DN206,SO,NA,NA,NA,NA,NA,NA,SEMSP,not dissected
2015-05-16-D06-SO-3,NA,DN206,SO,NA,NA,NA,NA,NA,NA,SEMSP,not dissected
2015-05-16-D06-SO-4,NA,DN206,SO,NA,NA,NA,NA,NA,NA,SEMSP,not dissected
2015-05-16-D06-SO-5,NA,DN206,SO,NA,NA,NA,NA,NA,NA,SEMSP,not dissected
2015-05-16-D06-SO-6,NA,DN206,SO,NA,NA,NA,NA,NA,NA,SEMSP,not dissected
2015-05-16-D06-SO-7,NA,DN206,SO,NA,NA,NA,NA,NA,NA,SEMSP,not dissected
2015-05-16-D06-SO-8,NA,DN206,SO,NA,NA,NA,NA,NA,NA,SEMSP,not dissected
2015-05-16-D06-SO-9,NA,DN206,SO,NA,NA,NA,NA,NA,NA,SEMSP,not dissected
2015-05-16-D06-SO-10,NA,DN206,SO,NA,NA,NA,NA,NA,NA,SEMSP,not dissected
2015-05-16-D06-SO-11,U306,DN206,SO,NA,NA,NA,NA,NA,NA,SEMSP,dissected
2015-05-16-D06-SO-12,U316,DN206,SO,NA,NA,NA,NA,NA,NA,SEMSP,dissected
2015-05-16-D06-SO-13,U321,DN206,SO,NA,NA,NA,NA,NA,NA,SEMSP,dissected
2015-05-16-D06-SO-14,U297,DN206,SO,NA,NA,NA,NA,NA,NA,SEMSP,dissected
2015-05-16-D06-SO-15,U298,DN206,SO,NA,NA,NA,NA,NA,NA,SEMSP,dissected
2015-05-16-D06-SO-16,U315,DN206,SO,NA,NA,NA,NA,NA,NA,SEMSP,dissected
2015-05-16-D06-SO-17,U296,DN206,SO,NA,NA,NA,NA,NA,NA,SEMSP,dissected
2015-05-16-D06-SO-18,U305,DN206,SO,NA,NA,NA,NA,NA,NA,SEMSP,dissected
2015-05-16-D06-SO-19,U304,DN206,SO,NA,NA,NA,NA,NA,NA,SEMSP,dissected
