ufn,sample_type,sample_id,container_id,container_cell,sample_location,comments_sample,sample_status,storage_medium,qc_flag,flag_reason,qc_log,ufn_sort
U50,sealice,SSL49,BSLSO1,60,BSLSO1-60,1 female Cal Chal B mangled,collected,Formalin,N,NA,NA,50
U51,sealice,SSL50,BSLSO1,49,BSLSO1-49,NA,collected,Formalin,N,NA,NA,51
U52,sealice,SSL51,BSLSO1,56,BSLSO1-56,NA,collected,Formalin,N,NA,NA,52
U53,sealice,SSL54,BSLSO1,65,BSLSO1-65,NA,collected,Formalin,N,NA,NA,53
U54,sealice,SSL55,BSLSO1,67,BSLSO1-67,NA,collected,Formalin,N,NA,NA,54
U55,sealice,SSL64,BSLSO1,74,BSLSO1-74,NA,collected,Formalin,N,NA,NA,55
U56,sealice,SSL65,BSLSO1,81,BSLSO1-81,NA,collected,Formalin,N,NA,NA,56
U57,sealice,SSL66,BSLSO1,87,BSLSO1-87,"1 squished adult, unk. Species",collected,Formalin,N,NA,NA,57
U58,sealice,SSL67,BSLSO1,96,BSLSO1-96,NA,collected,Formalin,N,NA,NA,58
U59,sealice,SSL74,BSLSO2,3,BSLSO2-3,"One louse on dorsal fin damaged put into vial, likely Chal B stage",collected,Formalin,N,NA,NA,59
U60,sealice,SSL68,BSLSO2,12,BSLSO2-12,NA,collected,Formalin,N,NA,NA,60
U61,sealice,SSL52,BSLSO1,52,BSLSO1-52,2 louse destroyed in vial,collected,Formalin,N,NA,NA,61
U62,sealice,SSL53,BSLSO1,58,BSLSO1-58,NA,collected,Formalin,N,NA,NA,62
U63,sealice,SSL56,BSLSO1,69,BSLSO1-69,NA,collected,Formalin,N,NA,NA,63
U64,sealice,SSL69,BSLSO1,78,BSLSO1-78,NA,collected,Formalin,N,NA,NA,64
U65,sealice,SSL70,BSLSO1,83,BSLSO1-83,NA,collected,Formalin,N,NA,NA,65
U66,sealice,SSL71,BSLSO1,85,BSLSO1-85,NA,collected,Formalin,N,NA,NA,66
U68,sealice,SSL76,BSLSO2,1,BSLSO2-1,NA,collected,Formalin,N,NA,NA,68
U69,sealice,SSL77,BSLSO2,7,BSLSO2-7,NA,collected,Formalin,N,NA,NA,69
U70,sealice,SSL78,BSLSO2,9,BSLSO2-9,NA,collected,Formalin,N,NA,NA,70
U71,sealice,SSL57,BSLSO1,61,BSLSO1-61,NA,collected,Formalin,N,NA,NA,71
U72,sealice,SSL58,BSLSO1,63,BSLSO1-63,NA,collected,Formalin,N,NA,NA,72
U73,sealice,SSL59,BSLSO1,72,BSLSO1-72,NA,collected,Formalin,N,NA,NA,73
U74,sealice,SSL72,BSLSO1,76,BSLSO1-76,NA,collected,Formalin,N,NA,NA,74
U75,sealice,SSL73,BSLSO1,80,BSLSO1-80,NA,collected,Formalin,N,NA,NA,75
U76,sealice,SSL79,BSLSO1,89,BSLSO1-89,NA,collected,Formalin,N,NA,NA,76
U77,sealice,SSL80,BSLSO1,98,BSLSO1-98,NA,collected,Formalin,N,NA,NA,77
U78,sealice,SSL81,BSLSO2,5,BSLSO2-5,NA,collected,Formalin,N,NA,NA,78
U79,sealice,SSL82,BSLSO2,18,BSLSO2-18,NA,collected,Formalin,N,NA,NA,79
U80,sealice,SSL83,BSLSO2,23,BSLSO2-23,NA,collected,Formalin,N,NA,NA,80
U81,sealice,SSL84,BSLSO1,100,BSLSO1-100,NA,collected,Formalin,N,NA,NA,81
U82,sealice,SSL87,BSLSO2,27,BSLSO2-27,NA,collected,Formalin,N,NA,NA,82
U83,sealice,SSL88,BSLSO2,36,BSLSO2-36,1 Chal. A destroyed but retained,collected,Formalin,N,NA,NA,83
U84,sealice,SSL89,BSLSO2,40,BSLSO2-40,NA,collected,Formalin,N,NA,NA,84
U85,sealice,SSL90,BSLSO2,45,BSLSO2-45,Half of a calanus motile retained,collected,Formalin,N,NA,NA,85
U86,sealice,SSL99,BSLSO2,47,BSLSO2-47,NA,collected,Formalin,N,NA,NA,86
U87,sealice,SSL100,BSLSO2,49,BSLSO2-49,NA,collected,Formalin,N,NA,NA,87
U88,sealice,SSL101,BSLSO2,52,BSLSO2-52,NA,collected,Formalin,N,NA,NA,88
U89,sealice,SSL102,BSLSO2,56,BSLSO2-56,NA,collected,Formalin,N,NA,NA,89
U90,sealice,SSL103,BSLSO2,60,BSLSO2-60,NA,collected,Formalin,N,NA,NA,90
U91,sealice,SSL85,BSLSO2,14,BSLSO2-14,NA,collected,Formalin,N,NA,NA,91
U92,sealice,SSL86,BSLSO2,20,BSLSO2-20,NA,collected,Formalin,N,NA,NA,92
U93,sealice,SSL91,BSLSO2,29,BSLSO2-29,NA,collected,Formalin,N,NA,NA,93
U94,sealice,SSL92,BSLSO2,32,BSLSO2-32,NA,collected,Formalin,N,NA,NA,94
U95,sealice,SSL93,BSLSO2,34,BSLSO2-34,NA,collected,Formalin,N,NA,NA,95
U96,sealice,SSL94,BSLSO2,38,BSLSO2-38,NA,collected,Formalin,N,NA,NA,96
U97,sealice,SSL95,BSLSO2,41,BSLSO2-41,NA,collected,Formalin,N,NA,NA,97
U98,sealice,SSL96,BSLSO2,43,BSLSO2-43,NA,collected,Formalin,N,NA,NA,98
U99,sealice,SSL123,BSLSO2,94,BSLSO2-94,NA,collected,Formalin,N,NA,NA,99
U100,sealice,SSL120,BSLSO28,NA,BSLSO28-NA,NA,results received,Formalin,N,NA,NA,100
U101,sealice,SSL60,BSLSO2,16,BSLSO2-16,NA,collected,Formalin,N,NA,NA,101
U102,sealice,SSL61,BSLSO2,21,BSLSO2-21,NA,collected,Formalin,N,NA,NA,102
U103,sealice,SSL62,BSLSO2,25,BSLSO2-25,NA,collected,Formalin,N,NA,NA,103
U104,sealice,SSL104,BSLSO2,61,BSLSO2-61,NA,collected,Formalin,N,NA,NA,104
U105,sealice,SSL105,BSLSO2,67,BSLSO2-67,NA,collected,Formalin,N,NA,NA,105
U106,sealice,SSL106,BSLSO2,72,BSLSO2-72,NA,collected,Formalin,N,NA,NA,106
U107,sealice,SSL107,BSLSO2,78,BSLSO2-78,NA,collected,Formalin,N,NA,NA,107
U108,sealice,SSL108,BSLSO2,80,BSLSO2-80,NA,collected,Formalin,N,NA,NA,108
U109,sealice,SSL116,BSLSO2,89,BSLSO2-89,NA,collected,Formalin,N,NA,NA,109
U110,sealice,SSL121,BSLCU1,43,BSLCU1-43,NA,collected,Formalin,N,NA,NA,110
U111,sealice,SSL97,BSLSO2,54,BSLSO2-54,NA,collected,Formalin,N,NA,NA,111
U112,sealice,SSL98,BSLSO2,58,BSLSO2-58,1 mangled Cal Chal B retained,collected,Formalin,N,NA,NA,112
U113,sealice,SSL109,BSLSO2,65,BSLSO2-65,NA,collected,Formalin,N,NA,NA,113
U114,sealice,SSL110,BSLSO2,69,BSLSO2-69,NA,collected,Formalin,N,NA,NA,114
U115,sealice,SSL111,BSLSO2,76,BSLSO2-76,NA,collected,Formalin,N,NA,NA,115
U116,sealice,SSL112,BSLSO2,83,BSLSO2-83,NA,collected,Formalin,N,NA,NA,116
U117,sealice,SSL117,BSLSO2,85,BSLSO2-85,NA,collected,Formalin,N,NA,NA,117
U118,sealice,SSL118,BSLSO2,92,BSLSO2-92,NA,collected,Formalin,N,NA,NA,118
U119,sealice,SSL122,BSLSO2,100,BSLSO2-100,NA,collected,Formalin,N,NA,NA,119
U120,sealice,SSL124,BSLSO3,1,BSLSO3-1,NA,collected,Formalin,N,NA,NA,120
U121,sealice,SSL113,BSLSO2,63,BSLSO2-63,NA,collected,Formalin,N,NA,NA,121
U122,sealice,SSL114,BSLSO2,74,BSLSO2-74,NA,collected,Formalin,N,NA,NA,122
U123,sealice,SSL115,BSLSO2,81,BSLSO2-81,NA,collected,Formalin,N,NA,NA,123
U124,sealice,SSL119,BSLSO2,87,BSLSO2-87,NA,collected,Formalin,N,NA,NA,124
U125,sealice,SSL132,BSLSO3,18,BSLSO3-18,NA,collected,Formalin,N,NA,NA,125
U126,sealice,SSL169,BSLSO3,80,BSLSO3-80,NA,collected,Formalin,N,NA,NA,126
U127,sealice,SSL204,BSLSO4,41,BSLSO4-41,NA,collected,Formalin,N,NA,NA,127
U128,sealice,SSL221,BSLSO4,76,BSLSO4-76,NA,collected,Formalin,N,NA,NA,128
U129,sealice,SSL247,BSLSO28,NA,BSLSO28-NA,NA,results received,Formalin,N,NA,NA,129
U130,sealice,SSL275,BSLSO5,80,BSLSO5-80,NA,collected,Formalin,N,NA,NA,130
U131,sealice,SSL133,BSLCU1,45,BSLCU1-45,NA,collected,Formalin,N,NA,NA,131
U132,sealice,SSL134,BSLCO1,29,BSLCO1-29,NA,collected,Formalin,N,NA,NA,132
U133,sealice,SSL146,BSLSO3,43,BSLSO3-43,NA,collected,Formalin,N,NA,NA,133
U134,sealice,SSL147,BSLSO3,45,BSLSO3-45,NA,collected,Formalin,N,NA,NA,134
U135,sealice,SSL148,BSLSO3,52,BSLSO3-52,NA,collected,Formalin,N,NA,NA,135
U136,sealice,SSL149,BSLSO3,54,BSLSO3-54,NA,collected,Formalin,N,NA,NA,136
U137,sealice,SSL150,BSLSO3,60,BSLSO3-60,NA,collected,Formalin,N,NA,NA,137
U138,sealice,SSL151,BSLSO3,61,BSLSO3-61,NA,collected,Formalin,N,NA,NA,138
U139,sealice,SSL157,BSLSO4,32,BSLSO4-32,NA,collected,Formalin,N,NA,NA,139
U140,sealice,SSL158,BSLSO4,34,BSLSO4-34,NA,collected,Formalin,N,NA,NA,140
U141,sealice,SSL125,BSLSO3,3,BSLSO3-3,NA,collected,Formalin,N,NA,NA,141
U142,sealice,SSL126,BSLSO3,5,BSLSO3-5,NA,collected,Formalin,N,NA,NA,142
U143,sealice,SSL127,BSLSO3,9,BSLSO3-9,NA,collected,Formalin,N,NA,NA,143
U144,sealice,SSL128,BSLSO3,14,BSLSO3-14,NA,collected,Formalin,N,NA,NA,144
U145,sealice,SSL135,BSLSO3,20,BSLSO3-20,NA,collected,Formalin,N,NA,NA,145
U146,sealice,SSL136,BSLSO3,23,BSLSO3-23,NA,collected,Formalin,N,NA,NA,146
U147,sealice,SSL137,BSLCO1,23,BSLCO1-23,NA,collected,Formalin,N,NA,NA,147
U149,sealice,SSL139,BSLCO1,25,BSLCO1-25,NA,collected,Formalin,N,NA,NA,149
U151,sealice,SSL129,BSLSO3,7,BSLSO3-7,NA,collected,Formalin,N,NA,NA,151
U152,sealice,SSL130,BSLSO3,12,BSLSO3-12,NA,collected,Formalin,N,NA,NA,152
U153,sealice,SSL131,BSLSO3,16,BSLSO3-16,NA,collected,Formalin,N,NA,NA,153
U154,sealice,SSL141,BSLSO3,21,BSLSO3-21,NA,collected,Formalin,N,NA,NA,154
U155,sealice,SSL142,BSLSO3,25,BSLSO3-25,NA,collected,Formalin,N,NA,NA,155
U156,sealice,SSL143,BSLSO3,32,BSLSO3-32,NA,collected,Formalin,N,NA,NA,156
U157,sealice,SSL144,BSLCO1,27,BSLCO1-27,NA,collected,Formalin,N,NA,NA,157
U158,sealice,SSL145,BSLSO3,38,BSLSO3-38,NA,collected,Formalin,N,NA,NA,158
U159,sealice,SSL152,BSLSO3,47,BSLSO3-47,NA,collected,Formalin,N,NA,NA,159
U160,sealice,SSL153,BSLSO3,49,BSLSO3-49,NA,collected,Formalin,N,NA,NA,160
U161,sealice,SSL154,BSLSO3,41,BSLSO3-41,NA,collected,Formalin,N,NA,NA,161
U162,sealice,SSL155,BSLSO3,56,BSLSO3-56,NA,collected,Formalin,N,NA,NA,162
U163,sealice,SSL159,BSLSO3,65,BSLSO3-65,NA,collected,Formalin,N,NA,NA,163
U164,sealice,SSL160,BSLSO3,67,BSLSO3-67,NA,collected,Formalin,N,NA,NA,164
U165,sealice,SSL161,BSLSO3,72,BSLSO3-72,NA,collected,Formalin,N,NA,NA,165
U166,sealice,SSL162,BSLSO3,78,BSLSO3-78,NA,collected,Formalin,N,NA,NA,166
U167,sealice,SSL170,BSLSO3,85,BSLSO3-85,NA,collected,Formalin,N,NA,NA,167
U168,sealice,SSL171,BSLSO3,87,BSLSO3-87,NA,collected,Formalin,N,NA,NA,168
U169,sealice,SSL172,BSLSO3,98,BSLSO3-98,NA,collected,Formalin,N,NA,NA,169
U170,sealice,SSL173,BSLSO4,3,BSLSO4-3,NA,collected,Formalin,N,NA,NA,170
U171,sealice,SSL156,BSLSO3,58,BSLSO3-58,NA,collected,Formalin,N,NA,NA,171
U172,sealice,SSL163,BSLSO3,63,BSLSO3-63,NA,collected,Formalin,N,NA,NA,172
U174,sealice,SSL165,BSLSO3,76,BSLSO3-76,NA,collected,Formalin,N,NA,NA,174
U175,sealice,SSL174,BSLSO3,83,BSLSO3-83,NA,collected,Formalin,N,NA,NA,175
U176,sealice,SSL175,BSLSO3,89,BSLSO3-89,NA,collected,Formalin,N,NA,NA,176
U177,sealice,SSL176,BSLSO3,94,BSLSO3-94,NA,collected,Formalin,N,NA,NA,177
U178,sealice,SSL177,BSLSO4,1,BSLSO4-1,NA,collected,Formalin,N,NA,NA,178
U179,sealice,SSL178,BSLSO4,9,BSLSO4-9,NA,collected,Formalin,N,NA,NA,179
U180,sealice,SSL186,BSLSO4,14,BSLSO4-14,NA,collected,Formalin,N,NA,NA,180
U181,sealice,SSL166,BSLSO4,36,BSLSO4-36,NA,collected,Formalin,N,NA,NA,181
U182,sealice,SSL167,BSLSO4,38,BSLSO4-38,NA,collected,Formalin,N,NA,NA,182
U183,sealice,SSL168,BSLSO3,74,BSLSO3-74,NA,collected,Formalin,N,NA,NA,183
U184,sealice,SSL179,BSLSO3,81,BSLSO3-81,NA,collected,Formalin,N,NA,NA,184
U185,sealice,SSL180,BSLSO3,92,BSLSO3-92,NA,collected,Formalin,N,NA,NA,185
U186,sealice,SSL181,BSLSO3,96,BSLSO3-96,NA,collected,Formalin,N,NA,NA,186
U187,sealice,SSL182,BSLSO3,100,BSLSO3-100,NA,collected,Formalin,N,NA,NA,187
U188,sealice,SSL183,BSLSO4,5,BSLSO4-5,NA,collected,Formalin,N,NA,NA,188
U189,sealice,SSL184,BSLSO4,12,BSLSO4-12,NA,collected,Formalin,N,NA,NA,189
U190,sealice,SSL195,BSLCU1,40,BSLCU1-40,NA,collected,Formalin,N,NA,NA,190
U191,sealice,SSL185,BSLSO4,7,BSLSO4-7,NA,collected,Formalin,N,NA,NA,191
U192,sealice,SSL187,BSLSO4,16,BSLSO4-16,NA,collected,Formalin,N,NA,NA,192
U193,sealice,SSL188,BSLSO4,18,BSLSO4-18,NA,collected,Formalin,N,NA,NA,193
U194,sealice,SSL189,BSLSO4,20,BSLSO4-20,NA,collected,Formalin,N,NA,NA,194
U195,sealice,SSL190,BSLCO1,21,BSLCO1-21,NA,collected,Formalin,N,NA,NA,195
U196,sealice,SSL196,BSLCU1,41,BSLCU1-41,NA,collected,Formalin,N,NA,NA,196
U197,sealice,SSL197,BSLSO4,40,BSLSO4-40,NA,collected,Formalin,N,NA,NA,197
U198,sealice,SSL198,BSLCO1,18,BSLCO1-18,NA,collected,Formalin,N,NA,NA,198
U199,sealice,SSL199,BSLCO1,20,BSLCO1-20,NA,collected,Formalin,N,NA,NA,199
U200,sealice,SSL205,BSLSO4,43,BSLSO4-43,NA,collected,Formalin,N,NA,NA,200
U201,sealice,SSL191,BSLSO4,21,BSLSO4-21,NA,collected,Formalin,N,NA,NA,201
U202,sealice,SSL192,BSLSO4,23,BSLSO4-23,NA,collected,Formalin,N,NA,NA,202
U203,sealice,SSL193,BSLSO4,25,BSLSO4-25,NA,collected,Formalin,N,NA,NA,203
U204,sealice,SSL194,BSLCO1,7,BSLCO1-7,NA,collected,Formalin,N,NA,NA,204
U205,sealice,SSL200,BSLCO1,9,BSLCO1-9,NA,collected,Formalin,N,NA,NA,205
U206,sealice,SSL201,BSLCO1,12,BSLCO1-12,NA,collected,Formalin,N,NA,NA,206
U207,sealice,SSL206,BSLSO4,45,BSLSO4-45,NA,collected,Formalin,N,NA,NA,207
U208,sealice,SSL207,BSLSO4,52,BSLSO4-52,NA,collected,Formalin,N,NA,NA,208
U209,sealice,SSL208,BSLSO4,58,BSLSO4-58,NA,collected,Formalin,N,NA,NA,209
U210,sealice,SSL209,BSLSO4,63,BSLSO4-63,NA,collected,Formalin,N,NA,NA,210
U211,sealice,SSL202,BSLCO1,14,BSLCO1-14,NA,collected,Formalin,N,NA,NA,211
U212,sealice,SSL203,BSLCO1,16,BSLCO1-16,NA,collected,Formalin,N,NA,NA,212
U213,sealice,SSL210,BSLSO4,47,BSLSO4-47,NA,collected,Formalin,N,NA,NA,213
U214,sealice,SSL211,BSLSO4,54,BSLSO4-54,NA,collected,Formalin,N,NA,NA,214
U215,sealice,SSL212,BSLSO4,60,BSLSO4-60,NA,collected,Formalin,N,NA,NA,215
U216,sealice,SSL213,BSLSO4,65,BSLSO4-65,NA,collected,Formalin,N,NA,NA,216
U217,sealice,SSL214,BSLSO4,72,BSLSO4-72,NA,collected,Formalin,N,NA,NA,217
U218,sealice,SSL222,BSLSO4,78,BSLSO4-78,NA,collected,Formalin,N,NA,NA,218
U221,sealice,SSL225,BSLSO4,89,BSLSO4-89,NA,collected,Formalin,N,NA,NA,221
U222,sealice,SSL226,BSLSO4,96,BSLSO4-96,NA,collected,Formalin,N,NA,NA,222
U223,sealice,SSL227,BSLSO28,NA,BSLSO28-NA,NA,results received,Formalin,N,NA,NA,223
U224,sealice,SSL248,BSLSO28,NA,BSLSO28-NA,NA,results received,Formalin,N,NA,NA,224
U225,sealice,SSL249,BSLSO28,NA,BSLSO28-NA,NA,results received,Formalin,N,NA,NA,225
U226,sealice,SSL250,BSLSO5,36,BSLSO5-36,NA,collected,Formalin,N,NA,NA,226
U227,sealice,SSL251,BSLSO5,41,BSLSO5-41,NA,collected,Formalin,N,NA,NA,227
U228,sealice,SSL252,BSLSO5,47,BSLSO5-47,NA,collected,Formalin,N,NA,NA,228
U229,sealice,SSL253,BSLSO5,52,BSLSO5-52,NA,collected,Formalin,N,NA,NA,229
U230,sealice,SSL264,BSLSO28,NA,BSLSO28-NA,NA,results received,Formalin,N,NA,NA,230
U231,sealice,SSL215,BSLSO4,49,BSLSO4-49,NA,collected,Formalin,N,NA,NA,231
U232,sealice,SSL216,BSLSO4,56,BSLSO4-56,NA,collected,Formalin,N,NA,NA,232
U233,sealice,SSL217,BSLSO4,61,BSLSO4-61,NA,collected,Formalin,N,NA,NA,233
U234,sealice,SSL218,BSLSO4,67,BSLSO4-67,NA,collected,Formalin,N,NA,NA,234
U235,sealice,SSL219,BSLSO4,74,BSLSO4-74,NA,collected,Formalin,N,NA,NA,235
U236,sealice,SSL228,BSLSO4,80,BSLSO4-80,NA,collected,Formalin,N,NA,NA,236
U237,sealice,SSL229,BSLSO4,83,BSLSO4-83,NA,collected,Formalin,N,NA,NA,237
U238,sealice,SSL230,BSLSO4,87,BSLSO4-87,NA,collected,Formalin,N,NA,NA,238
U239,sealice,SSL231,BSLSO4,94,BSLSO4-94,NA,collected,Formalin,N,NA,NA,239
U240,sealice,SSL232,BSLSO28,NA,BSLSO28-NA,NA,results received,Formalin,N,NA,NA,240
U241,sealice,SSL220,BSLSO4,69,BSLSO4-69,NA,collected,Formalin,N,NA,NA,241
U242,sealice,SSL233,BSLSO4,81,BSLSO4-81,NA,collected,Formalin,N,NA,NA,242
U243,sealice,SSL234,BSLSO4,85,BSLSO4-85,NA,collected,Formalin,N,NA,NA,243
U244,sealice,SSL235,BSLSO4,92,BSLSO4-92,NA,collected,Formalin,N,NA,NA,244
U245,sealice,SSL236,BSLSO28,NA,BSLSO28-NA,NA,results received,Formalin,N,NA,NA,245
U246,sealice,SSL237,BSLSO28,NA,BSLSO28-NA,NA,results received,Formalin,N,NA,NA,246
U247,sealice,SSL238,BSLSO28,NA,BSLSO28-NA,NA,results received,Formalin,N,NA,NA,247
U248,sealice,SSL239,BSLSO28,NA,BSLSO28-NA,NA,results received,Formalin,N,NA,NA,248
U249,sealice,SSL240,BSLSO28,NA,BSLSO28-NA,NA,results received,Formalin,N,NA,NA,249
U250,sealice,SSL241,BSLSO28,NA,BSLSO28-NA,NA,results received,Formalin,N,NA,NA,250
U251,sealice,SSL242,BSLSO28,NA,BSLSO28-NA,NA,results received,Formalin,N,NA,NA,251
U252,sealice,SSL243,BSLSO28,NA,BSLSO28-NA,NA,results received,Formalin,N,NA,NA,252
U253,sealice,SSL244,BSLSO28,NA,BSLSO28-NA,NA,results received,Formalin,N,NA,NA,253
U254,sealice,SSL245,BSLSO28,NA,BSLSO28-NA,NA,results received,Formalin,N,NA,NA,254
U255,sealice,SSL246,BSLSO28,NA,BSLSO28-NA,NA,results received,Formalin,N,NA,NA,255
U256,sealice,SSL254,BSLSO28,NA,BSLSO28-NA,NA,results received,Formalin,N,NA,NA,256
U257,sealice,SSL255,BSLSO5,40,BSLSO5-40,NA,collected,Formalin,N,NA,NA,257
U258,sealice,SSL256,BSLSO5,43,BSLSO5-43,NA,collected,Formalin,N,NA,NA,258
U259,sealice,SSL257,BSLSO5,49,BSLSO5-49,NA,collected,Formalin,N,NA,NA,259
U260,sealice,SSL258,BSLSO28,NA,BSLSO28-NA,NA,results received,Formalin,N,NA,NA,260
U261,sealice,SSL259,BSLSO28,NA,BSLSO28-NA,NA,results received,Formalin,N,NA,NA,261
U262,sealice,SSL260,BSLSO28,NA,BSLSO28-NA,NA,results received,Formalin,N,NA,NA,262
U263,sealice,SSL261,BSLSO5,38,BSLSO5-38,NA,collected,Formalin,N,NA,NA,263
U264,sealice,SSL262,BSLSO5,45,BSLSO5-45,NA,collected,Formalin,N,NA,NA,264
U265,sealice,SSL263,BSLSO5,54,BSLSO5-54,NA,collected,Formalin,N,NA,NA,265
U266,sealice,SSL276,BSLSO5,83,BSLSO5-83,NA,collected,Formalin,N,NA,NA,266
U267,sealice,SSL277,BSLSO5,92,BSLSO5-92,NA,collected,Formalin,N,NA,NA,267
U268,sealice,SSL278,BSLSO5,96,BSLSO5-96,NA,collected,Formalin,N,NA,NA,268
U269,sealice,SSL279,BSLSO6,1,BSLSO6-1,NA,collected,Formalin,N,NA,NA,269
U270,sealice,SSL280,BSLSO6,9,BSLSO6-9,NA,collected,Formalin,N,NA,NA,270
U271,sealice,SSL265,BSLSO5,60,BSLSO5-60,NA,collected,Formalin,N,NA,NA,271
U272,sealice,SSL266,BSLSO28,NA,BSLSO28-NA,NA,results received,Formalin,N,NA,NA,272
U273,sealice,SSL267,BSLSO28,NA,BSLSO28-NA,NA,results received,Formalin,N,NA,NA,273
U274,sealice,SSL268,BSLSO28,NA,BSLSO28-NA,NA,results received,Formalin,N,NA,NA,274
U275,sealice,SSL281,BSLSO5,81,BSLSO5-81,NA,collected,Formalin,N,NA,NA,275
U276,sealice,SSL282,BSLSO5,89,BSLSO5-89,NA,collected,Formalin,N,NA,NA,276
U277,sealice,SSL283,BSLSO5,98,BSLSO5-98,NA,collected,Formalin,N,NA,NA,277
U278,sealice,SSL284,BSLSO6,3,BSLSO6-3,NA,collected,Formalin,N,NA,NA,278
U279,sealice,SSL285,BSLSO6,7,BSLSO6-7,NA,collected,Formalin,N,NA,NA,279
