ufn,sample_type,sample_id,container_id,container_cell,sample_location,comments_sample,sample_status,storage_medium,qc_flag,flag_reason,qc_log,ufn_sort
U1,sealice,SSL1,BSLCU1,1,BSLCU1-1,NA,collected,Formalin,N,NA,NA,1
U2,sealice,SSL4,BSLCU1,3,BSLCU1-3,NA,collected,Formalin,N,NA,NA,2
U3,sealice,SSL6,BSLCU1,5,BSLCU1-5,NA,collected,Formalin,N,NA,NA,3
U4,sealice,SSL9,BSLCU1,7,BSLCU1-7,NA,collected,Formalin,N,NA,NA,4
U5,sealice,SSL10,BSLCU1,9,BSLCU1-9,NA,collected,Formalin,N,NA,NA,5
U7,sealice,SSL17,BSLSO1,3,BSLSO1-3,NA,collected,Formalin,N,NA,NA,7
U8,sealice,SSL18,BSLCU1,23,BSLCU1-23,NA,collected,Formalin,N,NA,NA,8
U9,sealice,SSL19,BSLCU1,25,BSLCU1-25,NA,collected,Formalin,N,NA,NA,9
U10,sealice,SSL20,BSLSO1,12,BSLSO1-12,NA,collected,Formalin,N,NA,NA,10
U11,sealice,SSL2,BSLCU1,12,BSLCU1-12,NA,collected,Formalin,N,NA,NA,11
U12,sealice,SSL3,BSLCU1,14,BSLCU1-14,NA,collected,Formalin,N,NA,NA,12
U13,sealice,SSL5,BSLCU1,16,BSLCU1-16,NA,collected,Formalin,N,NA,NA,13
U14,sealice,SSL7,BSLCU1,18,BSLCU1-18,NA,collected,Formalin,N,NA,NA,14
U15,sealice,SSL8,BSLCU1,20,BSLCU1-20,NA,collected,Formalin,N,NA,NA,15
U16,sealice,SSL12,BSLSO1,1,BSLSO1-1,1 louse taken seems to be different species?,collected,Formalin,N,NA,NA,16
U17,sealice,SSL21,BSLSO1,9,BSLSO1-9,NA,collected,Formalin,N,NA,NA,17
U18,sealice,SSL32,BSLCU1,38,BSLCU1-38,NA,collected,Formalin,N,NA,NA,18
U19,sealice,SSL40,BSLSO1,34,BSLSO1-34,NA,collected,Formalin,N,NA,NA,19
U20,sealice,SSL63,BSLSO1,92,BSLSO1-92,NA,collected,Formalin,N,NA,NA,20
U21,sealice,SSL13,BSLSO1,5,BSLSO1-5,NA,collected,Formalin,N,NA,NA,21
U22,sealice,SSL14,BSLCU1,27,BSLCU1-27,NA,collected,Formalin,N,NA,NA,22
U23,sealice,SSL22,BSLCU1,29,BSLCU1-29,NA,collected,Formalin,N,NA,NA,23
U24,sealice,SSL23,BSLCU1,34,BSLCU1-34,NA,collected,Formalin,N,NA,NA,24
U25,sealice,SSL24,BSLSO1,18,BSLSO1-18,NA,collected,Formalin,N,NA,NA,25
U26,sealice,SSL33,BSLSO1,21,BSLSO1-21,NA,collected,Formalin,N,NA,NA,26
U27,sealice,SSL34,BSLSO1,27,BSLSO1-27,NA,collected,Formalin,N,NA,NA,27
U28,sealice,SSL41,BSLSO1,38,BSLSO1-38,NA,collected,Formalin,N,NA,NA,28
U29,sealice,SSL42,BSLSO1,41,BSLSO1-41,NA,collected,Formalin,N,NA,NA,29
U30,sealice,SSL43,BSLSO1,45,BSLSO1-45,NA,collected,Formalin,N,NA,NA,30
U32,sealice,SSL16,BSLCO1,1,BSLCO1-1,mangled Cal. chal B,collected,Formalin,N,NA,NA,32
U33,sealice,SSL25,BSLCO1,3,BSLCO1-3,1 Caligus Chal A severly destroyed,collected,Formalin,N,NA,NA,33
U34,sealice,SSL26,BSLCO1,5,BSLCO1-5,NA,collected,Formalin,N,NA,NA,34
U35,sealice,SSL27,BSLSO1,14,BSLSO1-14,1 otolith,collected,Formalin,N,NA,NA,35
U36,sealice,SSL28,BSLCU1,36,BSLCU1-36,NA,collected,Formalin,N,NA,NA,36
U37,sealice,SSL35,BSLSO1,23,BSLSO1-23,NA,collected,Formalin,N,NA,NA,37
U38,sealice,SSL36,BSLSO1,29,BSLSO1-29,NA,collected,Formalin,N,NA,NA,38
U40,sealice,SSL45,BSLSO1,43,BSLSO1-43,NA,collected,Formalin,N,NA,NA,40
U42,sealice,SSL30,BSLSO1,16,BSLSO1-16,NA,collected,Formalin,N,NA,NA,42
U43,sealice,SSL31,BSLSO1,20,BSLSO1-20,NA,collected,Formalin,N,NA,NA,43
U45,sealice,SSL38,BSLSO1,25,BSLSO1-25,NA,collected,Formalin,N,NA,NA,45
U46,sealice,SSL39,BSLSO1,32,BSLSO1-32,NA,collected,Formalin,N,NA,NA,46
U47,sealice,SSL46,BSLSO1,40,BSLSO1-40,NA,collected,Formalin,N,NA,NA,47
U48,sealice,SSL47,BSLSO1,47,BSLSO1-47,NA,collected,Formalin,N,NA,NA,48
U49,sealice,SSL48,BSLSO1,54,BSLSO1-54,NA,collected,Formalin,N,NA,NA,49
