ufn,sample_type,sample_id,container_id,container_cell,sample_location,comments_sample,sample_status,storage_medium,qc_flag,flag_reason,qc_log,ufn_sort
U1721,extra muscle,SXM5104,BXM2,73,BXM2-73,NA,collected,Frozen -80,N,NA,NA,1721
U1722,extra muscle,SXM5105,BXM2,81,BXM2-81,NA,collected,Frozen -80,N,NA,NA,1722
U1723,extra muscle,SXM5106,BXM2,65,BXM2-65,NA,collected,Frozen -80,N,NA,NA,1723
U1724,extra muscle,SXM5107,BXM2,63,BXM2-63,NA,collected,Frozen -80,N,NA,NA,1724
U1725,extra muscle,SXM5108,BXM2,71,BXM2-71,NA,collected,Frozen -80,N,NA,NA,1725
U1726,extra muscle,SXM5109,BXM2,85,BXM2-85,NA,collected,Frozen -80,N,NA,NA,1726
U1727,extra muscle,SXM5110,BXM2,75,BXM2-75,NA,collected,Frozen -80,N,NA,NA,1727
U1728,extra muscle,SXM5111,BXM2,67,BXM2-67,NA,collected,Frozen -80,N,NA,NA,1728
U1729,extra muscle,SXM5112,BXM2,83,BXM2-83,NA,collected,Frozen -80,N,NA,NA,1729
U1730,extra muscle,SXM5113,BXM2,77,BXM2-77,NA,collected,Frozen -80,N,NA,NA,1730
U1751,extra muscle,SXM5114,BXM2,82,BXM2-82,NA,collected,Frozen -80,N,NA,NA,1751
U1752,extra muscle,SXM5115,BXM2,76,BXM2-76,NA,collected,Frozen -80,N,NA,NA,1752
U1753,extra muscle,SXM5116,BXM2,78,BXM2-78,NA,collected,Frozen -80,N,NA,NA,1753
U1754,extra muscle,SXM5117,BXM2,79,BXM2-79,NA,collected,Frozen -80,N,NA,NA,1754
U1755,extra muscle,SXM5118,BXM2,66,BXM2-66,NA,collected,Frozen -80,N,NA,NA,1755
U1756,extra muscle,SXM5119,BXM2,68,BXM2-68,NA,collected,Frozen -80,N,NA,NA,1756
U1757,extra muscle,SXM5120,BXM2,72,BXM2-72,NA,collected,Frozen -80,N,NA,NA,1757
U1758,extra muscle,SXM5121,BXM2,74,BXM2-74,NA,collected,Frozen -80,N,NA,NA,1758
U1759,extra muscle,SXM5122,BXM2,69,BXM2-69,NA,collected,Frozen -80,N,NA,NA,1759
U1760,extra muscle,SXM5123,BXM2,64,BXM2-64,NA,collected,Frozen -80,N,NA,NA,1760
U1791,extra muscle,SXM5124,BXM2,58,BXM2-58,NA,collected,Frozen -80,N,NA,NA,1791
U1792,extra muscle,SXM5125,BXM2,53,BXM2-53,NA,collected,Frozen -80,N,NA,NA,1792
U1793,extra muscle,SXM5126,BXM2,57,BXM2-57,NA,collected,Frozen -80,N,NA,NA,1793
U1794,extra muscle,SXM5127,BXM2,52,BXM2-52,NA,collected,Frozen -80,N,NA,NA,1794
U1795,extra muscle,SXM5128,BXM2,56,BXM2-56,NA,collected,Frozen -80,N,NA,NA,1795
U1796,extra muscle,SXM5129,BXM2,61,BXM2-61,NA,collected,Frozen -80,N,NA,NA,1796
U1797,extra muscle,SXM5130,BXM2,54,BXM2-54,NA,collected,Frozen -80,N,NA,NA,1797
U1798,extra muscle,SXM5131,BXM2,55,BXM2-55,NA,collected,Frozen -80,N,NA,NA,1798
U1799,extra muscle,SXM5132,BXM2,59,BXM2-59,NA,collected,Frozen -80,N,NA,NA,1799
U1800,extra muscle,SXM5133,BXM2,172,BXM2-172,NA,collected,Frozen -80,N,NA,NA,1800
U1871,extra muscle,SXM5134,BXM2,90,BXM2-90,NA,collected,Frozen -80,N,NA,NA,1871
U1872,extra muscle,SXM5135,BXM2,70,BXM2-70,NA,collected,Frozen -80,N,NA,NA,1872
U1873,extra muscle,SXM5136,BXM2,40,BXM2-40,NA,collected,Frozen -80,N,NA,NA,1873
U1874,extra muscle,SXM5137,BXM1,96,BXM1-96,NA,collected,Frozen -80,N,NA,NA,1874
U1875,extra muscle,SXM5138,BXM1,79,BXM1-79,NA,collected,Frozen -80,N,NA,NA,1875
U1881,extra muscle,SXM5139,BXM2,50,BXM2-50,NA,collected,Frozen -80,N,NA,NA,1881
U1882,extra muscle,SXM5140,BXM1,93,BXM1-93,NA,collected,Frozen -80,N,NA,NA,1882
U1883,extra muscle,SXM5141,BXM1,99,BXM1-99,NA,collected,Frozen -80,N,NA,NA,1883
U1884,extra muscle,SXM5142,BXM1,94,BXM1-94,NA,collected,Frozen -80,N,NA,NA,1884
U1885,extra muscle,SXM5143,BXM2,88,BXM2-88,NA,collected,Frozen -80,N,NA,NA,1885
U2191,extra muscle,SXM5144,BXM2,20,BXM2-20,NA,collected,Frozen -80,N,NA,NA,2191
U2192,extra muscle,SXM5145,BXM1,92,BXM1-92,NA,collected,Frozen -80,N,NA,NA,2192
U2193,extra muscle,SXM5146,BXM2,60,BXM2-60,NA,collected,Frozen -80,N,NA,NA,2193
U2194,extra muscle,SXM5147,BXM2,30,BXM2-30,NA,collected,Frozen -80,N,NA,NA,2194
U2195,extra muscle,SXM5148,BXM2,84,BXM2-84,NA,collected,Frozen -80,N,NA,NA,2195
U2196,extra muscle,SXM5149,BXM2,89,BXM2-89,NA,collected,Frozen -80,N,NA,NA,2196
U2197,extra muscle,SXM5150,BXM2,86,BXM2-86,NA,collected,Frozen -80,N,NA,NA,2197
U2198,extra muscle,SXM5151,BXM1,95,BXM1-95,NA,collected,Frozen -80,N,NA,NA,2198
U2199,extra muscle,SXM5152,BXM2,87,BXM2-87,NA,collected,Frozen -80,N,NA,NA,2199
U2200,extra muscle,SXM5153,BXM1,97,BXM1-97,NA,collected,Frozen -80,N,NA,NA,2200
U4386,extra muscle,SXM4786,BXM1,1,BXM1-1,Stored in -20 overnight,collected,Frozen -80,N,NA,NA,4386
U4387,extra muscle,SXM4787,BXM1,2,BXM1-2,Stored at -20 overnight,collected,Frozen -80,N,NA,NA,4387
U4388,extra muscle,SXM4788,BXM1,4,BXM1-4,NA,collected,Frozen -80,N,NA,NA,4388
U4389,extra muscle,SXM4789,BXM1,6,BXM1-6,Stored at -20 overnight,collected,Frozen -80,N,NA,NA,4389
U4391,extra muscle,SXM4791,BXM1,24,BXM1-24,NA,collected,Frozen -80,N,NA,NA,4391
U4392,extra muscle,SXM4792,BXM1,32,BXM1-32,NA,collected,Frozen -80,N,NA,NA,4392
U4484,extra muscle,SXM4884,BXM1,3,BXM1-3,Stored at -20 overnight,collected,Frozen -80,N,NA,NA,4484
U4485,extra muscle,SXM4885,BXM1,5,BXM1-5,Extra muscle stored at -20 overnight,collected,Frozen -80,N,NA,NA,4485
U4486,extra muscle,SXM4886,BXM1,7,BXM1-7,Extra muscle stored at -20 overnight,collected,Frozen -80,N,NA,NA,4486
U4487,extra muscle,SXM4887,BXM1,8,BXM1-8,Extra muscle stored at -20 overnight,collected,Frozen -80,N,NA,NA,4487
U4488,extra muscle,SXM4888,BXM1,9,BXM1-9,Extra muscle stored at -20 overnight,collected,Frozen -80,N,NA,NA,4488
U4524,extra muscle,SXM4924,BXM1,22,BXM1-22,NA,collected,Frozen -80,N,NA,NA,4524
U4525,extra muscle,SXM4925,BXM1,23,BXM1-23,NA,collected,Frozen -80,N,NA,NA,4525
U4526,extra muscle,SXM4926,BXM1,29,BXM1-29,NA,collected,Frozen -80,N,NA,NA,4526
U4527,extra muscle,SXM4927,BXM1,39,BXM1-39,NA,collected,Frozen -80,N,NA,NA,4527
U4528,extra muscle,SXM4928,BXM1,41,BXM1-41,NA,collected,Frozen -80,N,NA,NA,4528
U4529,extra muscle,SXM4929,BXM1,45,BXM1-45,NA,collected,Frozen -80,N,NA,NA,4529
U4530,extra muscle,SXM4930,BXM1,47,BXM1-47,NA,collected,Frozen -80,N,NA,NA,4530
U4531,extra muscle,SXM4931,BXM1,51,BXM1-51,NA,collected,Frozen -80,N,NA,NA,4531
U4532,extra muscle,SXM4932,BXM1,52,BXM1-52,NA,collected,Frozen -80,N,NA,NA,4532
U4533,extra muscle,SXM4933,BXM1,55,BXM1-55,NA,collected,Frozen -80,N,NA,NA,4533
U4534,extra muscle,SXM4934,BXM1,57,BXM1-57,NA,collected,Frozen -80,N,NA,NA,4534
U4535,extra muscle,SXM4935,BXM1,59,BXM1-59,NA,collected,Frozen -80,N,NA,NA,4535
U4536,extra muscle,SXM4936,BXM1,62,BXM1-62,NA,collected,Frozen -80,N,NA,NA,4536
U4554,extra muscle,SXM4954,BXM1,26,BXM1-26,NA,collected,Frozen -80,N,NA,NA,4554
U4555,extra muscle,SXM4955,BXM1,33,BXM1-33,NA,collected,Frozen -80,N,NA,NA,4555
U4556,extra muscle,SXM4956,BXM1,35,BXM1-35,NA,collected,Frozen -80,N,NA,NA,4556
U4557,extra muscle,SXM4957,BXM1,43,BXM1-43,NA,collected,Frozen -80,N,NA,NA,4557
U4558,extra muscle,SXM4958,BXM1,49,BXM1-49,NA,collected,Frozen -80,N,NA,NA,4558
U4559,extra muscle,SXM4959,BXM1,54,BXM1-54,NA,collected,Frozen -80,N,NA,NA,4559
U4560,extra muscle,SXM4960,BXM1,58,BXM1-58,NA,collected,Frozen -80,N,NA,NA,4560
U4561,extra muscle,SXM4961,BXM1,63,BXM1-63,NA,collected,Frozen -80,N,NA,NA,4561
U4562,extra muscle,SXM4962,BXM1,67,BXM1-67,NA,collected,Frozen -80,N,NA,NA,4562
U4563,extra muscle,SXM4963,BXM1,75,BXM1-75,NA,collected,Frozen -80,N,NA,NA,4563
U4564,extra muscle,SXM4964,BXM1,78,BXM1-78,NA,collected,Frozen -80,N,NA,NA,4564
U4565,extra muscle,SXM4965,BXM1,88,BXM1-88,NA,collected,Frozen -80,N,NA,NA,4565
U4566,extra muscle,SXM4966,BXM2,2,BXM2-2,NA,collected,Frozen -80,N,NA,NA,4566
U4567,extra muscle,SXM4967,BXM2,7,BXM2-7,NA,collected,Frozen -80,N,NA,NA,4567
U4568,extra muscle,SXM4968,BXM2,11,BXM2-11,NA,collected,Frozen -80,N,NA,NA,4568
U4569,extra muscle,SXM4969,BXM2,15,BXM2-15,NA,collected,Frozen -80,N,NA,NA,4569
U4570,extra muscle,SXM4970,BXM2,21,BXM2-21,NA,collected,Frozen -80,N,NA,NA,4570
U4571,extra muscle,SXM4971,BXM2,26,BXM2-26,NA,collected,Frozen -80,N,NA,NA,4571
U4572,extra muscle,SXM4972,BXM2,27,BXM2-27,NA,collected,Frozen -80,N,NA,NA,4572
U4573,extra muscle,SXM4973,BXM2,29,BXM2-29,NA,collected,Frozen -80,N,NA,NA,4573
U4574,extra muscle,SXM4974,BXM2,33,BXM2-33,NA,collected,Frozen -80,N,NA,NA,4574
