ufn,lab_count_motiles,cm_lab,cpaf_lab,caf_lab,cgf_lab,lgf_lab,laf_lab,lpaf_lab,lpam_lab,lam_lab,ucal_lab,ulep_lab
U144,1,0,1,0,0,0,0,0,0,0,0,0
U145,0,0,0,0,0,0,0,0,0,0,0,0
U146,2,1,1,0,0,0,0,0,0,0,0,0
U151,0,0,0,0,0,0,0,0,0,0,0,0
U152,1,1,0,0,0,0,0,0,0,0,0,0
U153,0,0,0,0,0,0,0,0,0,0,0,0
U154,0,0,0,0,0,0,0,0,0,0,0,0
U155,2,2,0,0,0,0,0,0,0,0,0,0
U156,1,0,0,0,0,0,0,0,1,0,0,0
U158,1,0,1,0,0,0,0,0,0,0,0,0
U159,0,0,0,0,0,0,0,0,0,0,0,0
U160,0,0,0,0,0,0,0,0,0,0,0,0
U161,0,0,0,0,0,0,0,0,0,0,0,0
U162,0,0,0,0,0,0,0,0,0,0,0,0
U163,0,0,0,0,0,0,0,0,0,0,0,0
U164,2,1,0,0,1,0,0,0,0,0,0,0
U165,0,0,0,0,0,0,0,0,0,0,0,0
U166,0,0,0,0,0,0,0,0,0,0,0,0
U167,1,0,0,0,0,0,0,0,1,0,0,0
U168,1,0,1,0,0,0,0,0,0,0,0,0
U169,0,0,0,0,0,0,0,0,0,0,0,0
U170,2,1,1,0,0,0,0,0,0,0,0,0
U171,0,0,0,0,0,0,0,0,0,0,0,0
U172,0,0,0,0,0,0,0,0,0,0,0,0
U174,0,0,0,0,0,0,0,0,0,0,0,0
U175,0,0,0,0,0,0,0,0,0,0,0,0
U176,0,0,0,0,0,0,0,0,0,0,0,0
U177,0,0,0,0,0,0,0,0,0,0,0,0
U178,0,0,0,0,0,0,0,0,0,0,0,0
U179,3,3,0,0,0,0,0,0,0,0,0,0
U180,0,0,0,0,0,0,0,0,0,0,0,0
U181,2,1,0,0,1,0,0,0,0,0,0,0
U182,1,1,0,0,0,0,0,0,0,0,0,0
U183,0,0,0,0,0,0,0,0,0,0,0,0
U184,0,0,0,0,0,0,0,0,0,0,0,0
U185,1,0,1,0,0,0,0,0,0,0,0,0
U186,2,1,0,1,0,0,0,0,0,0,0,0
U187,0,0,0,0,0,0,0,0,0,0,0,0
U188,0,0,0,0,0,0,0,0,0,0,0,0
U189,0,0,0,0,0,0,0,0,0,0,0,0
U191,0,0,0,0,0,0,0,0,0,0,0,0
U192,1,1,0,0,0,0,0,0,0,0,0,0
U193,1,0,1,0,0,0,0,0,0,0,0,0
U194,0,0,0,0,0,0,0,0,0,0,0,0
U197,1,0,0,1,0,0,0,0,0,0,0,0
U200,0,0,0,0,0,0,0,0,0,0,0,0
U201,1,1,0,0,0,0,0,0,0,0,0,0
U202,1,1,0,0,0,0,0,0,0,0,0,0
U203,0,0,0,0,0,0,0,0,0,0,0,0
U207,0,0,0,0,0,0,0,0,0,0,0,0
U208,0,0,0,0,0,0,0,0,0,0,0,0
U209,0,0,0,0,0,0,0,0,0,0,0,0
U210,0,0,0,0,0,0,0,0,0,0,0,0
U213,0,0,0,0,0,0,0,0,0,0,0,0
U214,0,0,0,0,0,0,0,0,0,0,0,0
U215,0,0,0,0,0,0,0,0,0,0,0,0
U216,2,0,0,1,1,0,0,0,0,0,0,0
U217,1,1,0,0,0,0,0,0,0,0,0,0
U218,2,1,1,0,0,0,0,0,0,0,0,0
U219,0,0,0,0,0,0,0,0,0,0,0,0
U220,0,0,0,0,0,0,0,0,0,0,0,0
U221,1,1,0,0,0,0,0,0,0,0,0,0
U222,1,0,0,0,1,0,0,0,0,0,0,0
U223,1,0,1,0,0,0,0,0,0,0,0,0
U224,2,2,0,0,0,0,0,0,0,0,0,0
U225,2,1,0,0,1,0,0,0,0,0,0,0
U226,0,0,0,0,0,0,0,0,0,0,0,0
U227,2,2,0,0,0,0,0,0,0,0,0,0
U228,2,1,0,0,0,0,0,0,0,0,1,0
U229,0,0,0,0,0,0,0,0,0,0,0,0
U230,1,1,0,0,0,0,0,0,0,0,0,0
U231,0,0,0,0,0,0,0,0,0,0,0,0
U232,0,0,0,0,0,0,0,0,0,0,0,0
U233,3,2,0,0,0,0,0,0,1,0,0,0
U234,0,0,0,0,0,0,0,0,0,0,0,0
U235,0,0,0,0,0,0,0,0,0,0,0,0
U236,0,0,0,0,0,0,0,0,0,0,0,0
U237,0,0,0,0,0,0,0,0,0,0,0,0
U238,1,1,0,0,0,0,0,0,0,0,0,0
U239,0,0,0,0,0,0,0,0,0,0,0,0
U240,2,1,1,0,0,0,0,0,0,0,0,0
U241,0,0,0,0,0,0,0,0,0,0,0,0
U242,3,2,0,1,0,0,0,0,0,0,0,0
U243,1,1,0,0,0,0,0,0,0,0,0,0
U244,3,2,0,1,0,0,0,0,0,0,0,0
U245,0,0,0,0,0,0,0,0,0,0,0,0
U246,4,3,1,0,0,0,0,0,0,0,0,0
U247,1,0,0,0,1,0,0,0,0,0,0,0
U248,4,0,3,1,0,0,0,0,0,0,0,0
U249,6,2,1,1,2,0,0,0,0,0,0,0
U250,0,0,0,0,0,0,0,0,0,0,0,0
U251,0,0,0,0,0,0,0,0,0,0,0,0
U252,0,0,0,0,0,0,0,0,0,0,0,0
U253,1,0,1,0,0,0,0,0,0,0,0,0
U254,1,0,1,0,0,0,0,0,0,0,0,0
U255,0,0,0,0,0,0,0,0,0,0,0,0
U256,1,0,0,0,1,0,0,0,0,0,0,0
U257,2,2,0,0,0,0,0,0,0,0,0,0
U258,0,0,0,0,0,0,0,0,0,0,0,0
U259,1,0,0,0,1,0,0,0,0,0,0,0
U260,2,1,0,0,1,0,0,0,0,0,0,0
U261,0,0,0,0,0,0,0,0,0,0,0,0
U262,0,0,0,0,0,0,0,0,0,0,0,0
U263,0,0,0,0,0,0,0,0,0,0,0,0
U264,0,0,0,0,0,0,0,0,0,0,0,0
U265,1,1,0,0,0,0,0,0,0,0,0,0
U266,0,0,0,0,0,0,0,0,0,0,0,0
U267,0,0,0,0,0,0,0,0,0,0,0,0
U268,1,0,0,0,0,0,0,0,0,0,1,0
U269,0,0,0,0,0,0,0,0,0,0,0,0
U270,0,0,0,0,0,0,0,0,0,0,0,0
U271,0,0,0,0,0,0,0,0,0,0,0,0
U272,0,0,0,0,0,0,0,0,0,0,0,0
U273,0,0,0,0,0,0,0,0,0,0,0,0
U274,1,1,0,0,0,0,0,0,0,0,0,0
U275,0,0,0,0,0,0,0,0,0,0,0,0
U276,0,0,0,0,0,0,0,0,0,0,0,0
U277,2,2,0,0,0,0,0,0,0,0,0,0
U278,0,0,0,0,0,0,0,0,0,0,0,0
U279,0,0,0,0,0,0,0,0,0,0,0,0
U280,2,1,1,0,0,0,0,0,0,0,0,0
U281,0,0,0,0,0,0,0,0,0,0,0,0
U284,0,0,0,0,0,0,0,0,0,0,0,0
