ufn,sample_type,sample_id,container_id,container_cell,sample_location,comments_sample,sample_status,sample_qc_flag,sample_flag_reason,sample_qc_log,ufn_sort
U99,fatty acid,SFA123,BFASO1,1,BFASO1-1,NA,collected,N,NA,NA,99
U127,fatty acid,SFA204,BFASO1,5,BFASO1-5,NA,collected,N,NA,NA,127
U128,fatty acid,SFA221,BFASO1,23,BFASO1-23,NA,collected,N,NA,NA,128
U129,fatty acid,SFA247,BFA101,66,BFA101-66,NA,being processed,N,NA,NA,129
U130,fatty acid,SFA275,BFASO2,21,BFASO2-21,NA,collected,N,NA,NA,130
U200,fatty acid,SFA205,BFASO1,3,BFASO1-3,NA,collected,N,NA,NA,200
U207,fatty acid,SFA206,BFASO1,2,BFASO1-2,NA,collected,N,NA,NA,207
U208,fatty acid,SFA207,BFASO1,7,BFASO1-7,NA,collected,N,NA,NA,208
U209,fatty acid,SFA208,BFASO1,10,BFASO1-10,NA,collected,N,NA,NA,209
U210,fatty acid,SFA209,BFASO1,14,BFASO1-14,NA,collected,N,NA,NA,210
U213,fatty acid,SFA210,BFASO1,4,BFASO1-4,NA,collected,N,NA,NA,213
U214,fatty acid,SFA211,BFASO1,8,BFASO1-8,NA,collected,N,NA,NA,214
U215,fatty acid,SFA212,BFASO1,11,BFASO1-11,NA,collected,N,NA,NA,215
U216,fatty acid,SFA213,BFASO1,15,BFASO1-15,NA,collected,N,NA,NA,216
U217,fatty acid,SFA214,BFASO1,20,BFASO1-20,NA,collected,N,NA,NA,217
U218,fatty acid,SFA222,BFASO1,25,BFASO1-25,NA,collected,N,NA,NA,218
U219,fatty acid,SFA223,BFASO1,27,BFASO1-27,NA,collected,N,NA,NA,219
U220,fatty acid,SFA224,BFASO1,32,BFASO1-32,NA,collected,N,NA,NA,220
U221,fatty acid,SFA225,BFASO1,33,BFASO1-33,NA,collected,N,NA,NA,221
U222,fatty acid,SFA226,BFASO1,41,BFASO1-41,NA,collected,N,NA,NA,222
U223,fatty acid,SFA227,BFA101,54,BFA101-54,NA,being processed,N,NA,NA,223
U224,fatty acid,SFA248,BFA101,69,BFA101-69,NA,being processed,N,NA,NA,224
U225,fatty acid,SFA249,BFA101,70,BFA101-70,NA,being processed,N,NA,NA,225
U226,fatty acid,SFA250,BFASO1,77,BFASO1-77,NA,collected,N,NA,NA,226
U227,fatty acid,SFA251,BFASO1,86,BFASO1-86,NA,collected,N,NA,NA,227
U228,fatty acid,SFA252,BFASO1,90,BFASO1-90,NA,collected,N,NA,NA,228
U229,fatty acid,SFA253,BFASO1,93,BFASO1-93,NA,collected,N,NA,NA,229
U230,fatty acid,SFA264,BFASO1,97,BFASO1-97,NA,collected,N,NA,NA,230
U231,fatty acid,SFA215,BFASO1,9,BFASO1-9,NA,collected,N,NA,NA,231
U232,fatty acid,SFA216,BFASO1,12,BFASO1-12,NA,collected,N,NA,NA,232
U233,fatty acid,SFA217,BFASO1,13,BFASO1-13,NA,collected,N,NA,NA,233
U234,fatty acid,SFA218,BFASO1,19,BFASO1-19,NA,collected,N,NA,NA,234
U235,fatty acid,SFA219,BFASO1,21,BFASO1-21,NA,collected,N,NA,NA,235
U236,fatty acid,SFA228,BFASO1,22,BFASO1-22,NA,collected,N,NA,NA,236
U237,fatty acid,SFA229,BFASO1,26,BFASO1-26,NA,collected,N,NA,NA,237
U238,fatty acid,SFA230,BFASO1,31,BFASO1-31,NA,collected,N,NA,NA,238
U239,fatty acid,SFA231,BFASO1,35,BFASO1-35,NA,collected,N,NA,NA,239
U240,fatty acid,SFA232,BFA101,53,BFA101-53,NA,being processed,N,NA,NA,240
U241,fatty acid,SFA220,BFASO1,17,BFASO1-17,NA,collected,N,NA,NA,241
U242,fatty acid,SFA233,BFASO1,24,BFASO1-24,NA,collected,N,NA,NA,242
U243,fatty acid,SFA234,BFASO1,29,BFASO1-29,NA,collected,N,NA,NA,243
U244,fatty acid,SFA235,BFASO1,30,BFASO1-30,NA,collected,N,NA,NA,244
U246,fatty acid,SFA237,BFA101,55,BFA101-55,NA,being processed,N,NA,NA,246
U247,fatty acid,SFA238,BFA101,57,BFA101-57,NA,being processed,N,NA,NA,247
U248,fatty acid,SFA239,BFA101,59,BFA101-59,NA,being processed,N,NA,NA,248
U249,fatty acid,SFA240,BFA101,61,BFA101-61,NA,being processed,N,NA,NA,249
U250,fatty acid,SFA241,BFA101,64,BFA101-64,NA,being processed,N,NA,NA,250
U251,fatty acid,SFA242,BFA101,56,BFA101-56,NA,being processed,N,NA,NA,251
U252,fatty acid,SFA243,BFA101,58,BFA101-58,NA,being processed,N,NA,NA,252
U253,fatty acid,SFA244,BFA101,60,BFA101-60,NA,being processed,N,NA,NA,253
U254,fatty acid,SFA245,BFA101,62,BFA101-62,NA,being processed,N,NA,NA,254
U255,fatty acid,SFA246,BFA101,63,BFA101-63,NA,being processed,N,NA,NA,255
U256,fatty acid,SFA254,BFA101,65,BFA101-65,NA,being processed,N,NA,NA,256
U257,fatty acid,SFA255,BFASO1,71,BFASO1-71,NA,collected,N,NA,NA,257
U258,fatty acid,SFA256,BFASO1,82,BFASO1-82,NA,collected,N,NA,NA,258
U259,fatty acid,SFA257,BFASO1,88,BFASO1-88,NA,collected,N,NA,NA,259
U260,fatty acid,SFA258,BFA101,71,BFA101-71,NA,being processed,N,NA,NA,260
U261,fatty acid,SFA259,BFA101,67,BFA101-67,NA,being processed,N,NA,NA,261
U262,fatty acid,SFA260,BFA101,68,BFA101-68,NA,being processed,N,NA,NA,262
U263,fatty acid,SFA261,BFASO1,79,BFASO1-79,NA,collected,N,NA,NA,263
U264,fatty acid,SFA262,BFASO1,84,BFASO1-84,NA,collected,N,NA,NA,264
U265,fatty acid,SFA263,BFASO1,91,BFASO1-91,NA,collected,N,NA,NA,265
U266,fatty acid,SFA276,BFASO2,30,BFASO2-30,NA,collected,N,NA,NA,266
U267,fatty acid,SFA277,BFASO2,25,BFASO2-25,NA,collected,N,NA,NA,267
U268,fatty acid,SFA278,BFASO2,34,BFASO2-34,NA,collected,N,NA,NA,268
U269,fatty acid,SFA279,BFASO2,40,BFASO2-40,NA,collected,N,NA,NA,269
U270,fatty acid,SFA280,BFASO2,41,BFASO2-41,NA,collected,N,NA,NA,270
U271,fatty acid,SFA265,BFASO1,99,BFASO1-99,NA,collected,N,NA,NA,271
U272,fatty acid,SFA266,BFASO2,5,BFASO2-5,NA,collected,N,NA,NA,272
U273,fatty acid,SFA267,BFASO2,7,BFASO2-7,NA,collected,N,NA,NA,273
U274,fatty acid,SFA268,BFASO2,12,BFASO2-12,NA,collected,N,NA,NA,274
U275,fatty acid,SFA281,BFASO2,23,BFASO2-23,NA,collected,N,NA,NA,275
U276,fatty acid,SFA282,BFASO2,27,BFASO2-27,NA,collected,N,NA,NA,276
U277,fatty acid,SFA283,BFASO2,45,BFASO2-45,NA,collected,N,NA,NA,277
U278,fatty acid,SFA284,BFASO2,47,BFASO2-47,NA,collected,N,NA,NA,278
U279,fatty acid,SFA285,BFASO2,49,BFASO2-49,NA,collected,N,NA,NA,279
U280,fatty acid,SFA292,BFASO2,54,BFASO2-54,NA,collected,N,NA,NA,280
U281,fatty acid,SFA269,BFASO2,1,BFASO2-1,NA,collected,N,NA,NA,281
U282,fatty acid,SFA270,BFASO2,3,BFASO2-3,NA,collected,N,NA,NA,282
U283,fatty acid,SFA271,BFASO2,9,BFASO2-9,NA,collected,N,NA,NA,283
U284,fatty acid,SFA272,BFASO2,14,BFASO2-14,NA,collected,N,NA,NA,284
U285,fatty acid,SFA273,BFASO2,16,BFASO2-16,NA,collected,N,NA,NA,285
U286,fatty acid,SFA274,BFASO2,18,BFASO2-18,NA,collected,N,NA,NA,286
U287,fatty acid,SFA286,BFASO2,29,BFASO2-29,NA,collected,N,NA,NA,287
U288,fatty acid,SFA287,BFASO2,32,BFASO2-32,NA,collected,N,NA,NA,288
U289,fatty acid,SFA288,BFASO2,36,BFASO2-36,NA,collected,N,NA,NA,289
U290,fatty acid,SFA289,BFASO2,38,BFASO2-38,NA,collected,N,NA,NA,290
U291,fatty acid,SFA290,BFASO2,43,BFASO2-43,NA,collected,N,NA,NA,291
U292,fatty acid,SFA293,BFASO2,58,BFASO2-58,NA,collected,N,NA,NA,292
U293,fatty acid,SFA294,BFASO2,60,BFASO2-60,NA,collected,N,NA,NA,293
U294,fatty acid,SFA295,BFASO2,61,BFASO2-61,NA,collected,N,NA,NA,294
U295,fatty acid,SFA296,BFASO2,69,BFASO2-69,NA,collected,N,NA,NA,295
U296,fatty acid,SFA297,BFASO2,72,BFASO2-72,NA,collected,N,NA,NA,296
U297,fatty acid,SFA298,BFASO2,83,BFASO2-83,NA,collected,N,NA,NA,297
U298,fatty acid,SFA308,BFASO2,89,BFASO2-89,NA,collected,N,NA,NA,298
U299,fatty acid,SFA309,BFA103,36,BFA103-36,NA,being processed,N,NA,NA,299
U300,fatty acid,SFA310,BFA103,37,BFA103-37,NA,being processed,N,NA,NA,300
U301,fatty acid,SFA299,BFASO2,81,BFASO2-81,NA,collected,N,NA,NA,301
U302,fatty acid,SFA300,BFASO2,80,BFASO2-80,NA,collected,N,NA,NA,302
U303,fatty acid,SFA301,BFASO2,65,BFASO2-65,NA,collected,N,NA,NA,303
