ufn,sample_type,sample_id,container_id,container_cell,sample_location,comments_sample,sample_status,storage_medium,qc_flag,flag_reason,qc_log,ufn_sort
U1422,fin clip,JS01302,JW40,NA,JW40-NA,NA,collected,Whatman Sheet,N,NA,NA,1422
U1423,fin clip,JS01307,JW40,NA,JW40-NA,NA,collected,Whatman Sheet,N,NA,NA,1423
U1424,fin clip,JS01308,JW40,NA,JW40-NA,NA,collected,Whatman Sheet,N,NA,NA,1424
U1425,fin clip,JS00412,JW14,NA,JW14-NA,NA,results received,Whatman Sheet,N,NA,NA,1425
U1426,fin clip,JS00416,JW14,NA,JW14-NA,NA,results received,Whatman Sheet,N,NA,NA,1426
U1427,fin clip,JS00417,JW14,NA,JW14-NA,NA,results received,Whatman Sheet,N,NA,NA,1427
U1428,fin clip,DS00708,DW24,NA,DW24-NA,NA,results received,Whatman Sheet,N,NA,NA,1428
U1429,fin clip,DS00705,DW24,NA,DW24-NA,NA,results received,Whatman Sheet,N,NA,NA,1429
U1430,fin clip,DS00710,DW24,NA,DW24-NA,NA,results received,Whatman Sheet,N,NA,NA,1430
U1431,fin clip,JS01301,JW40,NA,JW40-NA,NA,results received,Whatman Sheet,N,NA,NA,1431
U1432,fin clip,JS01306,JW40,NA,JW40-NA,NA,collected,Whatman Sheet,N,NA,NA,1432
U1433,fin clip,JS01309,JW40,NA,JW40-NA,NA,collected,Whatman Sheet,N,NA,NA,1433
U1434,fin clip,JS01303,JW40,NA,JW40-NA,NA,collected,Whatman Sheet,N,NA,NA,1434
U1435,fin clip,JS01310,JW40,NA,JW40-NA,NA,collected,Whatman Sheet,N,NA,NA,1435
U1436,fin clip,JS01304,JW40,NA,JW40-NA,NA,collected,Whatman Sheet,N,NA,NA,1436
U1437,fin clip,JS01205,JW37,NA,JW37-NA,NA,results received,Whatman Sheet,N,NA,NA,1437
U1438,fin clip,JS01206,JW37,NA,JW37-NA,NA,results received,Whatman Sheet,N,NA,NA,1438
U1439,fin clip,JS01045,JW31,NA,JW31-NA,NA,results received,Whatman Sheet,N,NA,NA,1439
U1440,fin clip,JS01041,JW31,NA,JW31-NA,NA,results received,Whatman Sheet,N,NA,NA,1440
U1441,fin clip,JS01305,JW40,NA,JW40-NA,NA,collected,Whatman Sheet,N,NA,NA,1441
U1442,fin clip,JS01204,JW37,NA,JW37-NA,NA,results received,Whatman Sheet,N,NA,NA,1442
U1443,fin clip,JS01210,JW37,NA,JW37-NA,NA,results received,Whatman Sheet,N,NA,NA,1443
U1444,fin clip,JS01208,JW37,NA,JW37-NA,NA,results received,Whatman Sheet,N,NA,NA,1444
U1445,fin clip,JS01209,JW37,NA,JW37-NA,NA,results received,Whatman Sheet,N,NA,NA,1445
U1446,fin clip,JS01202,JW37,NA,JW37-NA,NA,results received,Whatman Sheet,N,NA,NA,1446
U1447,fin clip,JS01048,JW31,NA,JW31-NA,NA,results received,Whatman Sheet,N,NA,NA,1447
U1448,fin clip,JS01042,JW31,NA,JW31-NA,NA,results received,Whatman Sheet,N,NA,NA,1448
U1449,fin clip,JS01043,JW31,NA,JW31-NA,NA,results received,Whatman Sheet,N,NA,NA,1449
U1450,fin clip,JS01046,JW31,NA,JW31-NA,NA,results received,Whatman Sheet,N,NA,NA,1450
U1451,fin clip,JS01201,JW37,NA,JW37-NA,NA,results received,Whatman Sheet,N,NA,NA,1451
U1452,fin clip,JS01207,JW37,NA,JW37-NA,NA,results received,Whatman Sheet,N,NA,NA,1452
U1453,fin clip,JS01203,JW37,NA,JW37-NA,NA,results received,Whatman Sheet,N,NA,NA,1453
U1454,fin clip,JS01044,JW31,NA,JW31-NA,NA,results received,Whatman Sheet,N,NA,NA,1454
U1455,fin clip,JS01050,JW31,NA,JW31-NA,NA,results received,Whatman Sheet,N,NA,NA,1455
U1461,fin clip,JS01049,JW31,NA,JW31-NA,NA,results received,Whatman Sheet,N,NA,NA,1461
U1462,fin clip,JS01280,JW39,NA,JW39-NA,NA,results received,Whatman Sheet,N,NA,NA,1462
U1463,fin clip,JS01271,JW39,NA,JW39-NA,NA,results received,Whatman Sheet,N,NA,NA,1463
U1464,fin clip,JS01277,JW39,NA,JW39-NA,NA,results received,Whatman Sheet,N,NA,NA,1464
U1465,fin clip,JS01098,JW33,NA,JW33-NA,NA,results received,Whatman Sheet,N,NA,NA,1465
U1466,fin clip,JS01096,JW33,NA,JW33-NA,NA,results received,Whatman Sheet,N,NA,NA,1466
U1467,fin clip,JS01093,JW33,NA,JW33-NA,NA,results received,Whatman Sheet,N,NA,NA,1467
U1468,fin clip,JS01099,JW33,NA,JW33-NA,NA,results received,Whatman Sheet,N,NA,NA,1468
U1469,fin clip,JS01091,JW33,NA,JW33-NA,NA,results received,Whatman Sheet,N,NA,NA,1469
