ufn,sample_type,sample_id,container_id,container_cell,sample_location,comments_sample,sample_status,sample_qc_flag,sample_flag_reason,sample_qc_log
U12821,isotope,S12821IS1,BIS1,27,BIS1-27,NA,collected,N,NA,NA
U12822,isotope,S12822IS1,BIS1,23,BIS1-23,NA,collected,N,NA,NA
U12823,isotope,S12823IS1,BIS1,32,BIS1-32,NA,collected,N,NA,NA
U12824,isotope,S12824IS1,BIS1,25,BIS1-25,NA,collected,N,NA,NA
U12825,isotope,S12825IS1,BIS1,29,BIS1-29,NA,collected,N,NA,NA
U12826,isotope,S12826IS1,BIS1,40,BIS1-40,NA,collected,N,NA,NA
U12827,isotope,S12827IS1,BIS1,21,BIS1-21,NA,collected,N,NA,NA
U12828,isotope,S12828IS1,BIS1,38,BIS1-38,NA,collected,N,NA,NA
U12829,isotope,S12829IS1,BIS1,36,BIS1-36,NA,collected,N,NA,NA
U12830,isotope,S12830IS1,BIS1,34,BIS1-34,NA,collected,N,NA,NA
U12901,isotope,S12901IS1,BIS4,61,BIS4-61,NA,collected,N,NA,NA
U12902,isotope,S12902IS1,BIS4,63,BIS4-63,NA,collected,N,NA,NA
U12903,isotope,S12903IS1,BIS4,56,BIS4-56,NA,collected,N,NA,NA
U12904,isotope,S12904IS1,BIS4,60,BIS4-60,NA,collected,N,NA,NA
U12905,isotope,S12905IS1,BIS4,65,BIS4-65,NA,collected,N,NA,NA
U12906,isotope,S12906IS1,BIS4,58,BIS4-58,NA,collected,N,NA,NA
U12951,isotope,S12951IS1,BIS5,78,BIS5-78,NA,collected,N,NA,NA
U12952,isotope,S12952IS1,BIS5,76,BIS5-76,NA,collected,N,NA,NA
U12953,isotope,S12953IS1,BIS6,41,BIS6-41,NA,collected,N,NA,NA
U12954,isotope,S12954IS1,BIS5,80,BIS5-80,NA,collected,N,NA,NA
U12962,isotope,S12962IS1,BIS7,78,BIS7-78,NA,collected,N,NA,NA
U12963,isotope,S12963IS1,BIS7,72,BIS7-72,NA,collected,N,NA,NA
U12965,isotope,S12965IS1,BIS7,76,BIS7-76,NA,collected,N,NA,NA
U12967,isotope,S12967IS1,BIS7,69,BIS7-69,NA,collected,N,NA,NA
U12968,isotope,S12968IS1,BIS7,74,BIS7-74,NA,collected,N,NA,NA
