ufn,sample_type,sample_id,container_id,container_cell,sample_location,comments_sample,sample_status,sample_qc_flag,sample_flag_reason,sample_qc_log
U01,isotope,SIS1,BISCU1,1,BISCU1-1,NA,collected,N,NA,NA
U02,isotope,SIS4,BISCU1,3,BISCU1-3,NA,collected,N,NA,NA
U03,isotope,SIS6,BISCU1,5,BISCU1-5,NA,collected,N,NA,NA
U04,isotope,SIS9,BISCU1,7,BISCU1-7,NA,collected,N,NA,NA
U05,isotope,SIS10,BISCU1,9,BISCU1-9,NA,collected,N,NA,NA
U06,isotope,SIS11,BISCU1,21,BISCU1-21,NA,collected,N,NA,NA
U07,isotope,SIS17,BISSO1,1,BISSO1-1,NA,collected,N,NA,NA
U08,isotope,SIS18,BISCU1,23,BISCU1-23,NA,collected,N,NA,NA
U09,isotope,SIS19,BISCU1,25,BISCU1-25,NA,collected,N,NA,NA
U10,isotope,SIS20,BISSO1,9,BISSO1-9,NA,collected,N,NA,NA
U11,isotope,SIS2,BISCU1,12,BISCU1-12,NA,collected,N,NA,NA
U12,isotope,SIS3,BISCU1,14,BISCU1-14,NA,collected,N,NA,NA
U13,isotope,SIS5,BISCU1,16,BISCU1-16,NA,collected,N,NA,NA
U14,isotope,SIS7,BISCU1,18,BISCU1-18,NA,collected,N,NA,NA
U15,isotope,SIS8,BISCU1,20,BISCU1-20,NA,collected,N,NA,NA
U16,isotope,SIS12,BISSO1,3,BISSO1-3,NA,collected,N,NA,NA
U17,isotope,SIS21,BISSO1,12,BISSO1-12,NA,collected,N,NA,NA
U18,isotope,SIS32,BISCU1,38,BISCU1-38,NA,collected,N,NA,NA
U19,isotope,SIS40,BISSO1,34,BISSO1-34,NA,collected,N,NA,NA
U20,isotope,SIS63,BISSO1,89,BISSO1-89,NA,collected,N,NA,NA
U21,isotope,SIS13,BISSO1,7,BISSO1-7,NA,collected,N,NA,NA
U22,isotope,SIS14,BISCU1,27,BISCU1-27,NA,collected,N,NA,NA
U23,isotope,SIS22,BISCU1,29,BISCU1-29,NA,collected,N,NA,NA
U24,isotope,SIS23,BISCU1,34,BISCU1-34,NA,collected,N,NA,NA
U25,isotope,SIS24,BISSO1,18,BISSO1-18,NA,collected,N,NA,NA
U26,isotope,SIS33,BISSO1,25,BISSO1-25,NA,collected,N,NA,NA
U27,isotope,SIS34,BISSO1,32,BISSO1-32,NA,collected,N,NA,NA
U28,isotope,SIS41,BISSO1,38,BISSO1-38,NA,collected,N,NA,NA
U29,isotope,SIS42,BISSO1,43,BISSO1-43,NA,collected,N,NA,NA
U30,isotope,SIS43,BISSO1,49,BISSO1-49,NA,collected,N,NA,NA
U31,isotope,SIS15,BISSO1,5,BISSO1-5,NA,collected,N,NA,NA
U32,isotope,SIS16,BISCO1,1,BISCO1-1,NA,collected,N,NA,NA
U33,isotope,SIS25,BISCO1,3,BISCO1-3,NA,collected,N,NA,NA
U34,isotope,SIS26,BISCO1,5,BISCO1-5,NA,collected,N,NA,NA
U35,isotope,SIS27,BISSO1,16,BISSO1-16,NA,collected,N,NA,NA
U36,isotope,SIS28,BISCU1,36,BISCU1-36,NA,collected,N,NA,NA
U37,isotope,SIS35,BISSO1,21,BISSO1-21,NA,collected,N,NA,NA
U38,isotope,SIS36,BISSO1,27,BISSO1-27,NA,collected,N,NA,NA
U39,isotope,SIS44,BISSO1,40,BISSO1-40,NA,collected,N,NA,NA
U40,isotope,SIS45,BISSO1,41,BISSO1-41,NA,collected,N,NA,NA
U41,isotope,SIS29,BISCU1,32,BISCU1-32,NA,collected,N,NA,NA
U42,isotope,SIS30,BISSO1,14,BISSO1-14,NA,collected,N,NA,NA
U43,isotope,SIS31,BISSO1,20,BISSO1-20,NA,collected,N,NA,NA
U44,isotope,SIS37,BISCU1,40,BISCU1-40,NA,collected,N,NA,NA
U45,isotope,SIS38,BISSO1,23,BISSO1-23,NA,collected,N,NA,NA
U46,isotope,SIS39,BISSO1,29,BISSO1-29,NA,collected,N,NA,NA
U47,isotope,SIS46,BISSO1,36,BISSO1-36,NA,collected,N,NA,NA
U48,isotope,SIS47,BISSO1,45,BISSO1-45,NA,collected,N,NA,NA
U49,isotope,SIS48,BISSO1,56,BISSO1-56,NA,collected,N,NA,NA
U50,isotope,SIS49,BISSO1,58,BISSO1-58,NA,collected,N,NA,NA
U51,isotope,SIS50,BISSO1,47,BISSO1-47,NA,collected,N,NA,NA
U52,isotope,SIS51,BISSO1,52,BISSO1-52,NA,collected,N,NA,NA
U53,isotope,SIS54,BISSO1,65,BISSO1-65,NA,collected,N,NA,NA
U54,isotope,SIS55,BISSO1,69,BISSO1-69,NA,collected,N,NA,NA
U55,isotope,SIS64,BISSO1,74,BISSO1-74,NA,collected,N,NA,NA
U56,isotope,SIS65,BISSO1,78,BISSO1-78,NA,collected,N,NA,NA
U57,isotope,SIS66,BISSO1,85,BISSO1-85,NA,collected,N,NA,NA
U58,isotope,SIS67,BISSO1,92,BISSO1-92,NA,collected,N,NA,NA
U59,isotope,SIS74,BISSO1,98,BISSO1-98,NA,collected,N,NA,NA
U60,isotope,SIS68,BISSO2,7,BISSO2-7,NA,collected,N,NA,NA
U61,isotope,SIS52,BISSO1,54,BISSO1-54,NA,collected,N,NA,NA
U62,isotope,SIS53,BISSO1,60,BISSO1-60,NA,collected,N,NA,NA
U63,isotope,SIS56,BISSO1,71,BISSO1-71,NA,collected,N,NA,NA
U65,isotope,SIS70,BISSO1,81,BISSO1-81,NA,collected,N,NA,NA
U66,isotope,SIS71,BISSO1,83,BISSO1-83,NA,collected,N,NA,NA
U68,isotope,SIS76,BISSO2,1,BISSO2-1,NA,collected,N,NA,NA
U69,isotope,SIS77,BISSO2,3,BISSO2-3,NA,collected,N,NA,NA
U70,isotope,SIS78,BISSO2,9,BISSO2-9,NA,collected,N,NA,NA
U71,isotope,SIS57,BISSO1,61,BISSO1-61,NA,collected,N,NA,NA
U72,isotope,SIS58,BISSO1,63,BISSO1-63,NA,collected,N,NA,NA
U73,isotope,SIS59,BISSO1,67,BISSO1-67,NA,collected,N,NA,NA
U74,isotope,SIS72,BISSO1,76,BISSO1-76,NA,collected,N,NA,NA
U75,isotope,SIS73,BISSO1,80,BISSO1-80,NA,collected,N,NA,NA
U76,isotope,SIS79,BISSO1,87,BISSO1-87,NA,collected,N,NA,NA
U77,isotope,SIS80,BISSO1,96,BISSO1-96,NA,collected,N,NA,NA
U78,isotope,SIS81,BISSO2,5,BISSO2-5,NA,collected,N,NA,NA
U79,isotope,SIS82,BISSO2,12,BISSO2-12,NA,collected,N,NA,NA
U80,isotope,SIS83,BISSO2,21,BISSO2-21,NA,collected,N,NA,NA
U81,isotope,SIS84,BISSO1,100,BISSO1-100,NA,collected,N,NA,NA
U82,isotope,SIS87,BISSO2,25,BISSO2-25,NA,collected,N,NA,NA
U83,isotope,SIS88,BISSO2,32,BISSO2-32,NA,collected,N,NA,NA
U84,isotope,SIS89,BISSO2,34,BISSO2-34,NA,collected,N,NA,NA
U85,isotope,SIS90,BISSO2,40,BISSO2-40,NA,collected,N,NA,NA
U86,isotope,SIS99,BISSO2,43,BISSO2-43,NA,collected,N,NA,NA
U87,isotope,SIS100,BISSO2,45,BISSO2-45,NA,collected,N,NA,NA
U88,isotope,SIS101,BISSO2,47,BISSO2-47,NA,collected,N,NA,NA
U89,isotope,SIS102,BISSO2,52,BISSO2-52,NA,collected,N,NA,NA
U90,isotope,SIS103,BISSO2,56,BISSO2-56,NA,collected,N,NA,NA
U91,isotope,SIS85,BISSO2,16,BISSO2-16,NA,collected,N,NA,NA
U92,isotope,SIS86,BISSO2,20,BISSO2-20,NA,collected,N,NA,NA
U93,isotope,SIS91,BISSO2,27,BISSO2-27,NA,collected,N,NA,NA
U94,isotope,SIS92,BISSO2,29,BISSO2-29,NA,collected,N,NA,NA
U96,isotope,SIS94,BISSO2,36,BISSO2-36,NA,collected,N,NA,NA
U97,isotope,SIS95,BISSO2,38,BISSO2-38,NA,collected,N,NA,NA
U98,isotope,SIS96,BISSO2,41,BISSO2-41,NA,collected,N,NA,NA
U99,isotope,SIS123,BISSO2,89,BISSO2-89,NA,collected,N,NA,NA
U101,isotope,SIS60,BISSO2,14,BISSO2-14,NA,collected,N,NA,NA
U102,isotope,SIS61,BISSO2,18,BISSO2-18,NA,collected,N,NA,NA
U103,isotope,SIS62,BISSO2,23,BISSO2-23,NA,collected,N,NA,NA
U104,isotope,SIS104,BISSO2,77,BISSO2-77,NA,collected,N,NA,NA
U105,isotope,SIS105,BISSO2,63,BISSO2-63,NA,collected,N,NA,NA
U106,isotope,SIS106,BISSO2,67,BISSO2-67,NA,collected,N,NA,NA
U107,isotope,SIS107,BISSO2,74,BISSO2-74,NA,collected,N,NA,NA
U108,isotope,SIS108,BISSO2,78,BISSO2-78,NA,collected,N,NA,NA
U109,isotope,SIS116,BISSO2,83,BISSO2-83,NA,collected,N,NA,NA
U110,isotope,SIS121,BISCU1,43,BISCU1-43,NA,collected,N,NA,NA
U111,isotope,SIS97,BISSO2,49,BISSO2-49,NA,collected,N,NA,NA
U112,isotope,SIS98,BISSO2,54,BISSO2-54,NA,collected,N,NA,NA
U113,isotope,SIS109,BISSO2,60,BISSO2-60,NA,collected,N,NA,NA
U114,isotope,SIS110,BISSO2,65,BISSO2-65,NA,collected,N,NA,NA
U115,isotope,SIS111,BISSO2,69,BISSO2-69,NA,collected,N,NA,NA
U116,isotope,SIS112,BISSO2,76,BISSO2-76,NA,collected,N,NA,NA
U117,isotope,SIS117,BISSO2,81,BISSO2-81,NA,collected,N,NA,NA
U118,isotope,SIS118,BISSO2,87,BISSO2-87,NA,collected,N,NA,NA
U119,isotope,SIS122,BISSO2,94,BISSO2-94,NA,collected,N,NA,NA
U120,isotope,SIS124,BISSO2,96,BISSO2-96,NA,collected,N,NA,NA
U121,isotope,SIS113,BISSO2,61,BISSO2-61,NA,collected,N,NA,NA
U122,isotope,SIS114,BISSO2,72,BISSO2-72,NA,collected,N,NA,NA
U123,isotope,SIS115,BISSO2,80,BISSO2-80,NA,collected,N,NA,NA
U124,isotope,SIS119,BISSO2,85,BISSO2-85,NA,collected,N,NA,NA
U125,isotope,SIS132,BISSO3,16,BISSO3-16,NA,collected,N,NA,NA
U126,isotope,SIS169,BISSO3,76,BISSO3-76,NA,collected,N,NA,NA
U127,isotope,SIS204,BISSO4,21,BISSO4-21,NA,collected,N,NA,NA
U128,isotope,SIS221,BISSO4,56,BISSO4-56,NA,collected,N,NA,NA
U129,isotope,SIS247,BISSO5,7,BISSO5-7,NA,collected,N,NA,NA
U130,isotope,SIS275,BISSO5,63,BISSO5-63,NA,collected,N,NA,NA
U131,isotope,SIS133,BISCU1,41,BISCU1-41,NA,collected,N,NA,NA
U132,isotope,SIS134,BISCO1,20,BISCO1-20,NA,collected,N,NA,NA
U133,isotope,SIS146,BISSO2,92,BISSO2-92,NA,collected,N,NA,NA
U134,isotope,SIS147,BISSO3,27,BISSO3-27,NA,collected,N,NA,NA
U135,isotope,SIS148,BISSO3,32,BISSO3-32,NA,collected,N,NA,NA
U136,isotope,SIS149,BISSO3,36,BISSO3-36,NA,collected,N,NA,NA
U137,isotope,SIS150,BISSO3,41,BISSO3-41,NA,collected,N,NA,NA
U138,isotope,SIS151,BISSO3,43,BISSO3-43,NA,collected,N,NA,NA
U139,isotope,SIS157,BISSO3,45,BISSO3-45,NA,collected,N,NA,NA
U140,isotope,SIS158,BISSO3,54,BISSO3-54,NA,collected,N,NA,NA
U141,isotope,SIS125,BISSO2,98,BISSO2-98,NA,collected,N,NA,NA
U142,isotope,SIS126,BISSO3,1,BISSO3-1,NA,collected,N,NA,NA
U143,isotope,SIS127,BISSO3,3,BISSO3-3,NA,collected,N,NA,NA
U144,isotope,SIS128,BISSO3,7,BISSO3-7,NA,collected,N,NA,NA
U145,isotope,SIS135,BISSO3,12,BISSO3-12,NA,collected,N,NA,NA
U146,isotope,SIS136,BISSO3,18,BISSO3-18,NA,collected,N,NA,NA
U147,isotope,SIS137,BISCO1,7,BISCO1-7,NA,collected,N,NA,NA
U148,isotope,SIS138,BISCO1,8,BISCO1-8,NA,collected,N,NA,NA
U149,isotope,SIS139,BISCO1,12,BISCO1-12,NA,collected,N,NA,NA
U150,isotope,SIS140,BISCO1,16,BISCO1-16,NA,collected,N,NA,NA
U151,isotope,SIS129,BISSO2,100,BISSO2-100,NA,collected,N,NA,NA
U152,isotope,SIS130,BISSO3,5,BISSO3-5,NA,collected,N,NA,NA
U153,isotope,SIS131,BISSO3,9,BISSO3-9,NA,collected,N,NA,NA
U154,isotope,SIS141,BISSO3,14,BISSO3-14,NA,collected,N,NA,NA
U155,isotope,SIS142,BISSO3,20,BISSO3-20,NA,collected,N,NA,NA
U156,isotope,SIS143,BISSO3,21,BISSO3-21,NA,collected,N,NA,NA
U157,isotope,SIS144,BISCO1,14,BISCO1-14,NA,collected,N,NA,NA
U158,isotope,SIS145,BISSO3,25,BISSO3-25,NA,collected,N,NA,NA
U159,isotope,SIS152,BISSO3,29,BISSO3-29,NA,collected,N,NA,NA
U160,isotope,SIS153,BISSO3,34,BISSO3-34,NA,collected,N,NA,NA
U161,isotope,SIS154,BISSO3,23,BISSO3-23,NA,collected,N,NA,NA
U162,isotope,SIS155,BISSO3,40,BISSO3-40,NA,collected,N,NA,NA
U163,isotope,SIS159,BISSO3,49,BISSO3-49,NA,collected,N,NA,NA
U164,isotope,SIS160,BISSO3,52,BISSO3-52,NA,collected,N,NA,NA
U165,isotope,SIS161,BISSO3,61,BISSO3-61,NA,collected,N,NA,NA
U166,isotope,SIS162,BISSO3,65,BISSO3-65,NA,collected,N,NA,NA
U167,isotope,SIS170,BISSO3,72,BISSO3-72,NA,collected,N,NA,NA
U168,isotope,SIS171,BISSO3,81,BISSO3-81,NA,collected,N,NA,NA
U169,isotope,SIS172,BISSO3,87,BISSO3-87,NA,collected,N,NA,NA
U170,isotope,SIS173,BISSO3,94,BISSO3-94,NA,collected,Y,duplicate sample location,NA
U171,isotope,SIS156,BISSO3,38,BISSO3-38,NA,collected,N,NA,NA
U172,isotope,SIS163,BISSO3,47,BISSO3-47,NA,collected,Y,duplicate sample location,NA
U173,isotope,SIS164,BISSO3,60,BISSO3-60,NA,collected,N,NA,NA
U174,isotope,SIS165,BISSO3,67,BISSO3-67,NA,collected,N,NA,NA
U175,isotope,SIS174,BISSO3,74,BISSO3-74,NA,collected,N,NA,NA
U176,isotope,SIS175,BISSO3,80,BISSO3-80,NA,collected,N,NA,NA
U177,isotope,SIS176,BISSO3,83,BISSO3-83,NA,collected,N,NA,NA
U178,isotope,SIS177,BISSO3,92,BISSO3-92,NA,collected,N,NA,NA
U179,isotope,SIS178,BISSO3,100,BISSO3-100,NA,collected,N,NA,NA
U180,isotope,SIS186,BISSO4,3,BISSO4-3,NA,collected,N,NA,NA
U181,isotope,SIS166,BISSO3,56,BISSO3-56,NA,collected,N,NA,NA
U182,isotope,SIS167,BISSO3,58,BISSO3-58,NA,collected,N,NA,NA
U183,isotope,SIS168,BISSO3,63,BISSO3-63,NA,collected,N,NA,NA
U184,isotope,SIS179,BISSO3,69,BISSO3-69,NA,collected,N,NA,NA
U185,isotope,SIS180,BISSO3,78,BISSO3-78,NA,collected,N,NA,NA
U186,isotope,SIS181,BISSO3,85,BISSO3-85,NA,collected,N,NA,NA
U187,isotope,SIS182,BISSO3,89,BISSO3-89,NA,collected,N,NA,NA
U188,isotope,SIS183,BISSO3,96,BISSO3-96,NA,collected,N,NA,NA
U189,isotope,SIS184,BISSO4,1,BISSO4-1,NA,collected,N,NA,NA
U190,isotope,SIS195,BISCU1,45,BISCU1-45,NA,collected,N,NA,NA
U191,isotope,SIS185,BISSO3,98,BISSO3-98,NA,collected,N,NA,NA
U192,isotope,SIS187,BISSO4,5,BISSO4-5,NA,collected,N,NA,NA
U193,isotope,SIS188,BISSO4,7,BISSO4-7,NA,collected,N,NA,NA
U194,isotope,SIS189,BISSO4,14,BISSO4-14,NA,collected,N,NA,NA
U195,isotope,SIS190,BISCO1,18,BISCO1-18,NA,collected,N,NA,NA
U196,isotope,SIS196,BISCU1,47,BISCU1-47,NA,collected,N,NA,NA
U197,isotope,SIS197,BISSO4,18,BISSO4-18,NA,collected,N,NA,NA
U198,isotope,SIS198,BISCO1,29,BISCO1-29,NA,collected,N,NA,NA
U199,isotope,SIS199,BISCO1,34,BISCO1-34,NA,collected,N,NA,NA
U200,isotope,SIS205,BISSO4,23,BISSO4-23,NA,collected,N,NA,NA
U201,isotope,SIS191,BISSO4,9,BISSO4-9,NA,collected,N,NA,NA
U202,isotope,SIS192,BISSO4,12,BISSO4-12,NA,collected,N,NA,NA
U203,isotope,SIS193,BISSO4,16,BISSO4-16,NA,collected,N,NA,NA
U204,isotope,SIS194,BISCO1,21,BISCO1-21,NA,collected,N,NA,NA
U205,isotope,SIS200,BISCO1,23,BISCO1-23,NA,collected,N,NA,NA
U206,isotope,SIS201,BISCO1,27,BISCO1-27,NA,collected,N,NA,NA
U207,isotope,SIS206,BISSO4,20,BISSO4-20,NA,collected,N,NA,NA
U208,isotope,SIS207,BISSO4,27,BISSO4-27,NA,collected,N,NA,NA
U209,isotope,SIS208,BISSO4,34,BISSO4-34,NA,collected,N,NA,NA
U210,isotope,SIS209,BISSO4,40,BISSO4-40,NA,collected,N,NA,NA
U211,isotope,SIS202,BISCO1,25,BISCO1-25,NA,collected,N,NA,NA
U212,isotope,SIS203,BISCO1,32,BISCO1-32,NA,collected,N,NA,NA
U213,isotope,SIS210,BISSO4,25,BISSO4-25,NA,collected,N,NA,NA
U214,isotope,SIS211,BISSO4,29,BISSO4-29,NA,collected,N,NA,NA
U215,isotope,SIS212,BISSO4,36,BISSO4-36,NA,collected,N,NA,NA
U216,isotope,SIS213,BISSO4,43,BISSO4-43,NA,collected,N,NA,NA
U217,isotope,SIS214,BISSO4,49,BISSO4-49,NA,collected,N,NA,NA
U218,isotope,SIS222,BISSO4,60,BISSO4-60,NA,collected,N,NA,NA
U219,isotope,SIS223,BISSO4,63,BISSO4-63,NA,collected,N,NA,NA
U220,isotope,SIS224,BISSO4,72,BISSO4-72,NA,collected,N,NA,NA
U221,isotope,SIS225,BISSO4,74,BISSO4-74,NA,collected,N,NA,NA
U222,isotope,SIS226,BISSO4,81,BISSO4-81,NA,collected,N,NA,NA
U223,isotope,SIS227,BISSO4,83,BISSO4-83,NA,collected,N,NA,NA
U224,isotope,SIS248,BISSO5,12,BISSO5-12,NA,collected,N,NA,NA
U225,isotope,SIS249,BISSO5,18,BISSO5-18,NA,collected,N,NA,NA
U226,isotope,SIS250,BISSO5,19,BISSO5-19,NA,collected,N,NA,NA
U227,isotope,SIS251,BISSO5,27,BISSO5-27,NA,collected,N,NA,NA
U228,isotope,SIS252,BISSO5,32,BISSO5-32,NA,collected,N,NA,NA
U229,isotope,SIS253,BISSO5,36,BISSO5-36,NA,collected,N,NA,NA
U230,isotope,SIS264,BISSO5,41,BISSO5-41,NA,collected,N,NA,NA
U231,isotope,SIS215,BISSO4,32,BISSO4-32,NA,collected,N,NA,NA
U232,isotope,SIS216,BISSO4,38,BISSO4-38,NA,collected,N,NA,NA
U233,isotope,SIS217,BISSO4,41,BISSO4-41,NA,collected,N,NA,NA
U234,isotope,SIS218,BISSO4,47,BISSO4-47,NA,collected,N,NA,NA
U235,isotope,SIS219,BISSO4,53,BISSO4-53,NA,collected,N,NA,NA
U236,isotope,SIS228,BISSO4,54,BISSO4-54,NA,collected,N,NA,NA
U237,isotope,SIS229,BISSO4,61,BISSO4-61,NA,collected,N,NA,NA
U238,isotope,SIS230,BISSO4,67,BISSO4-67,NA,collected,N,NA,NA
U239,isotope,SIS231,BISSO4,76,BISSO4-76,NA,collected,N,NA,NA
U240,isotope,SIS232,BISSO4,78,BISSO4-78,NA,collected,N,NA,NA
U241,isotope,SIS220,BISSO4,45,BISSO4-45,NA,collected,N,NA,NA
U242,isotope,SIS233,BISSO4,58,BISSO4-58,NA,collected,N,NA,NA
U243,isotope,SIS234,BISSO4,65,BISSO4-65,NA,collected,N,NA,NA
U244,isotope,SIS235,BISSO4,69,BISSO4-69,NA,collected,N,NA,NA
U245,isotope,SIS236,BISSO4,80,BISSO4-80,NA,collected,N,NA,NA
U246,isotope,SIS237,BISSO4,85,BISSO4-85,NA,collected,N,NA,NA
U247,isotope,SIS238,BISSO4,89,BISSO4-89,NA,collected,N,NA,NA
U248,isotope,SIS239,BISSO4,94,BISSO4-94,NA,collected,N,NA,NA
U249,isotope,SIS240,BISSO4,98,BISSO4-98,NA,collected,N,NA,NA
U250,isotope,SIS241,BISSO5,3,BISSO5-3,NA,collected,N,NA,NA
U251,isotope,SIS242,BISSO4,87,BISSO4-87,NA,collected,N,NA,NA
U252,isotope,SIS243,BISSO4,92,BISSO4-92,NA,collected,N,NA,NA
U253,isotope,SIS244,BISSO4,96,BISSO4-96,NA,collected,N,NA,NA
U254,isotope,SIS245,BISSO4,100,BISSO4-100,NA,collected,N,NA,NA
U255,isotope,SIS246,BISSO5,1,BISSO5-1,NA,collected,N,NA,NA
U256,isotope,SIS254,BISSO5,5,BISSO5-5,NA,collected,N,NA,NA
U257,isotope,SIS255,BISSO5,16,BISSO5-16,NA,collected,N,NA,NA
U258,isotope,SIS256,BISSO5,23,BISSO5-23,NA,collected,N,NA,NA
U259,isotope,SIS257,BISSO5,29,BISSO5-29,NA,collected,N,NA,NA
U260,isotope,SIS258,BISSO5,38,BISSO5-38,NA,collected,N,NA,NA
U261,isotope,SIS259,BISSO5,9,BISSO5-9,NA,collected,N,NA,NA
U262,isotope,SIS260,BISSO5,14,BISSO5-14,NA,collected,N,NA,NA
U263,isotope,SIS261,BISSO5,21,BISSO5-21,NA,collected,N,NA,NA
U264,isotope,SIS262,BISSO5,25,BISSO5-25,NA,collected,N,NA,NA
U265,isotope,SIS263,BISSO5,34,BISSO5-34,NA,collected,N,NA,NA
U266,isotope,SIS276,BISSO5,61,BISSO5-61,NA,collected,N,NA,NA
U267,isotope,SIS277,BISSO5,67,BISSO5-67,NA,collected,N,NA,NA
U268,isotope,SIS278,BISSO5,76,BISSO5-76,NA,collected,N,NA,NA
U269,isotope,SIS279,BISSO5,81,BISSO5-81,NA,collected,N,NA,NA
U270,isotope,SIS280,BISSO5,83,BISSO5-83,NA,collected,N,NA,NA
U271,isotope,SIS265,BISSO5,40,BISSO5-40,NA,collected,N,NA,NA
U272,isotope,SIS266,BISSO5,47,BISSO5-47,NA,collected,N,NA,NA
U273,isotope,SIS267,BISSO5,49,BISSO5-49,NA,collected,N,NA,NA
U274,isotope,SIS268,BISSO5,54,BISSO5-54,NA,collected,N,NA,NA
U275,isotope,SIS281,BISSO5,65,BISSO5-65,NA,collected,N,NA,NA
U276,isotope,SIS282,BISSO5,69,BISSO5-69,NA,collected,N,NA,NA
U277,isotope,SIS283,BISSO5,87,BISSO5-87,NA,collected,N,NA,NA
U278,isotope,SIS284,BISSO5,89,BISSO5-89,NA,collected,N,NA,NA
U279,isotope,SIS285,BISSO5,92,BISSO5-92,NA,collected,N,NA,NA
U280,isotope,SIS292,BISSO5,96,BISSO5-96,NA,collected,N,NA,NA
U281,isotope,SIS269,BISSO5,43,BISSO5-43,NA,collected,N,NA,NA
U282,isotope,SIS270,BISSO5,45,BISSO5-45,NA,collected,N,NA,NA
U283,isotope,SIS271,BISSO5,52,BISSO5-52,NA,collected,N,NA,NA
U284,isotope,SIS272,BISSO5,56,BISSO5-56,NA,collected,N,NA,NA
U285,isotope,SIS273,BISSO5,58,BISSO5-58,NA,collected,N,NA,NA
U286,isotope,SIS274,BISSO5,60,BISSO5-60,NA,collected,N,NA,NA
U287,isotope,SIS286,BISSO5,72,BISSO5-72,NA,collected,N,NA,NA
U288,isotope,SIS287,BISSO5,74,BISSO5-74,NA,collected,N,NA,NA
U289,isotope,SIS288,BISSO5,79,BISSO5-79,NA,collected,N,NA,NA
U290,isotope,SIS289,BISSO5,80,BISSO5-80,NA,collected,N,NA,NA
U291,isotope,SIS290,BISSO5,85,BISSO5-85,NA,collected,N,NA,NA
U292,isotope,SIS293,BISSO5,99,BISSO5-99,NA,collected,N,NA,NA
U293,isotope,SIS294,BISSO6,1,BISSO6-1,NA,collected,N,NA,NA
U294,isotope,SIS295,BISSO6,3,BISSO6-3,NA,collected,N,NA,NA
U295,isotope,SIS296,BISSO6,12,BISSO6-12,NA,collected,N,NA,NA
U296,isotope,SIS297,BISSO6,14,BISSO6-14,NA,collected,N,NA,NA
U297,isotope,SIS298,BISSO6,25,BISSO6-25,NA,collected,N,NA,NA
U298,isotope,SIS308,BISSO6,32,BISSO6-32,NA,collected,N,NA,NA
U299,isotope,SIS309,BISSO6,43,BISSO6-43,NA,collected,N,NA,NA
U300,isotope,SIS310,BISSO6,45,BISSO6-45,NA,collected,N,NA,NA
U301,isotope,SIS299,BISSO6,18,BISSO6-18,NA,collected,N,NA,NA
U302,isotope,SIS300,BISSO6,20,BISSO6-20,NA,collected,N,NA,NA
U303,isotope,SIS301,BISSO6,7,BISSO6-7,NA,collected,N,NA,NA
U304,isotope,SIS302,BISSO6,21,BISSO6-21,NA,collected,N,NA,NA
U305,isotope,SIS303,BISSO6,23,BISSO6-23,NA,collected,N,NA,NA
U306,isotope,SIS311,BISSO6,38,BISSO6-38,NA,collected,N,NA,NA
U307,isotope,SIS312,BISSO6,34,BISSO6-34,NA,collected,N,NA,NA
U308,isotope,SIS313,BISSO6,40,BISSO6-40,NA,collected,N,NA,NA
U309,isotope,SIS314,BISSO6,63,BISSO6-63,NA,collected,N,NA,NA
U310,isotope,SIS315,BISSO6,56,BISSO6-56,NA,collected,N,NA,NA
U311,isotope,SIS304,BISSO5,94,BISSO5-94,NA,collected,N,NA,NA
U312,isotope,SIS305,BISSO5,98,BISSO5-98,NA,collected,N,NA,NA
U313,isotope,SIS306,BISSO6,5,BISSO6-5,NA,collected,N,NA,NA
U315,isotope,SIS307,BISSO6,16,BISSO6-16,NA,collected,N,NA,NA
U316,isotope,SIS316,BISSO6,27,BISSO6-27,NA,collected,N,NA,NA
U317,isotope,SIS317,BISSO6,36,BISSO6-36,NA,collected,N,NA,NA
U318,isotope,SIS318,BISSO6,41,BISSO6-41,NA,collected,N,NA,NA
U319,isotope,SIS319,BISSO6,49,BISSO6-49,NA,collected,N,NA,NA
U320,isotope,SIS320,BISSO6,54,BISSO6-54,NA,collected,N,NA,NA
U321,isotope,SIS321,BISSO6,29,BISSO6-29,NA,collected,N,NA,NA
U322,isotope,SIS407,BISSO8,27,BISSO8-27,NA,collected,N,NA,NA
U323,isotope,SIS408,BISSO8,32,BISSO8-32,NA,collected,N,NA,NA
U324,isotope,SIS409,BISSO8,36,BISSO8-36,NA,collected,N,NA,NA
U325,isotope,SIS410,BISSO8,38,BISSO8-38,NA,collected,N,NA,NA
U326,isotope,SIS415,BISSO8,41,BISSO8-41,NA,collected,N,NA,NA
U327,isotope,SIS427,BISSO8,67,BISSO8-67,NA,collected,N,NA,NA
U328,isotope,SIS453,BISSO9,18,BISSO9-18,NA,collected,N,NA,NA
U329,isotope,SIS571,BISSO11,60,BISSO11-60,NA,collected,N,NA,NA
U330,isotope,SIS572,BISSO11,65,BISSO11-65,NA,collected,N,NA,NA
U331,isotope,SIS322,BISSO6,47,BISSO6-47,NA,collected,N,NA,NA
U332,isotope,SIS323,BISSO6,52,BISSO6-52,NA,collected,N,NA,NA
U333,isotope,SIS324,BISSO6,58,BISSO6-58,NA,collected,N,NA,NA
U334,isotope,SIS325,BISSO6,61,BISSO6-61,NA,collected,N,NA,NA
U335,isotope,SIS327,BISSO6,67,BISSO6-67,NA,collected,N,NA,NA
U336,isotope,SIS328,BISSO6,69,BISSO6-69,NA,collected,N,NA,NA
