ufn,sample_type,sample_id,container_id,container_cell,sample_location,comments_sample,sample_status,sample_qc_flag,sample_flag_reason,sample_qc_log,ufn_sort
U123,stomach,SST115,BST2,NA,BST2-NA,NA,collected,N,NA,NA,123
U124,stomach,SST119,BST2,NA,BST2-NA,NA,collected,N,NA,NA,124
U125,stomach,SST132,BST2,NA,BST2-NA,NA,collected,N,NA,NA,125
U126,stomach,SST169,BST7,NA,BST7-NA,NA,collected,N,NA,NA,126
U127,stomach,SST204,BST7,NA,BST7-NA,NA,collected,N,NA,NA,127
U128,stomach,SST221,BST7,NA,BST7-NA,NA,being processed,N,NA,NA,128
U129,stomach,SST247,BST7,NA,BST7-NA,NA,collected,N,NA,NA,129
U130,stomach,SST275,BST7,NA,BST7-NA,NA,being processed,N,NA,NA,130
U131,stomach,SST133,BST6,NA,BST6-NA,NA,collected,N,NA,NA,131
U132,stomach,SST134,BST6,NA,BST6-NA,NA,collected,N,NA,NA,132
U133,stomach,SST146,BST6,NA,BST6-NA,NA,collected,N,NA,NA,133
U134,stomach,SST147,BST6,NA,BST6-NA,NA,collected,N,NA,NA,134
U135,stomach,SST148,BST6,NA,BST6-NA,NA,collected,N,NA,NA,135
U136,stomach,SST149,BST6,NA,BST6-NA,NA,collected,N,NA,NA,136
U137,stomach,SST150,BST6,NA,BST6-NA,NA,collected,N,NA,NA,137
U138,stomach,SST151,BST6,NA,BST6-NA,NA,collected,N,NA,NA,138
U139,stomach,SST157,BST6,NA,BST6-NA,NA,collected,N,NA,NA,139
U140,stomach,SST158,BST6,NA,BST6-NA,NA,collected,N,NA,NA,140
U141,stomach,SST125,BST8,NA,BST8-NA,NA,collected,N,NA,NA,141
U142,stomach,SST126,BST8,NA,BST8-NA,NA,collected,N,NA,NA,142
U143,stomach,SST127,BST8,NA,BST8-NA,NA,collected,N,NA,NA,143
U144,stomach,SST128,BST8,NA,BST8-NA,NA,collected,N,NA,NA,144
U145,stomach,SST135,BST8,NA,BST8-NA,NA,collected,N,NA,NA,145
U146,stomach,SST136,BST8,NA,BST8-NA,NA,collected,N,NA,NA,146
U147,stomach,SST137,BST8,NA,BST8-NA,NA,collected,N,NA,NA,147
U148,stomach,SST138,BST8,NA,BST8-NA,NA,collected,N,NA,NA,148
U149,stomach,SST139,BST8,NA,BST8-NA,NA,collected,N,NA,NA,149
U150,stomach,SST140,BST8,NA,BST8-NA,NA,collected,N,NA,NA,150
U151,stomach,SST129,BST5,NA,BST5-NA,NA,collected,N,NA,NA,151
U152,stomach,SST130,BST5,NA,BST5-NA,NA,collected,N,NA,NA,152
U153,stomach,SST131,BST5,NA,BST5-NA,NA,collected,N,NA,NA,153
U154,stomach,SST141,BST5,NA,BST5-NA,NA,collected,N,NA,NA,154
U155,stomach,SST142,BST5,NA,BST5-NA,NA,collected,N,NA,NA,155
U156,stomach,SST143,BST5,NA,BST5-NA,NA,collected,N,NA,NA,156
U157,stomach,SST144,BST5,NA,BST5-NA,NA,collected,N,NA,NA,157
U158,stomach,SST145,BST5,NA,BST5-NA,NA,collected,N,NA,NA,158
U159,stomach,SST152,BST5,NA,BST5-NA,NA,collected,N,NA,NA,159
U160,stomach,SST153,BST5,NA,BST5-NA,NA,collected,N,NA,NA,160
U161,stomach,SST154,BST8,NA,BST8-NA,NA,collected,N,NA,NA,161
U162,stomach,SST155,BST8,NA,BST8-NA,NA,collected,N,NA,NA,162
U163,stomach,SST159,BST8,NA,BST8-NA,NA,collected,N,NA,NA,163
U164,stomach,SST160,BST8,NA,BST8-NA,NA,collected,N,NA,NA,164
U165,stomach,SST161,BST8,NA,BST8-NA,NA,collected,N,NA,NA,165
U166,stomach,SST162,BST8,NA,BST8-NA,NA,collected,N,NA,NA,166
U167,stomach,SST170,BST8,NA,BST8-NA,NA,collected,N,NA,NA,167
U168,stomach,SST171,BST8,NA,BST8-NA,NA,collected,N,NA,NA,168
U169,stomach,SST172,BST8,NA,BST8-NA,NA,collected,N,NA,NA,169
U170,stomach,SST173,BST8,NA,BST8-NA,NA,collected,N,NA,NA,170
U171,stomach,SST156,BST9,NA,BST9-NA,NA,collected,N,NA,NA,171
U172,stomach,SST163,BST9,NA,BST9-NA,NA,collected,N,NA,NA,172
U174,stomach,SST165,BST9,NA,BST9-NA,NA,collected,N,NA,NA,174
U175,stomach,SST174,BST9,NA,BST9-NA,NA,collected,N,NA,NA,175
U176,stomach,SST175,BST9,NA,BST9-NA,NA,collected,N,NA,NA,176
U177,stomach,SST176,BST9,NA,BST9-NA,NA,collected,N,NA,NA,177
U178,stomach,SST177,BST9,NA,BST9-NA,NA,collected,N,NA,NA,178
U179,stomach,SST178,BST9,NA,BST9-NA,NA,collected,N,NA,NA,179
U180,stomach,SST186,BST9,NA,BST9-NA,NA,collected,N,NA,NA,180
U181,stomach,SST166,BST6,NA,BST6-NA,NA,collected,N,NA,NA,181
U182,stomach,SST167,BST6,NA,BST6-NA,NA,collected,N,NA,NA,182
U183,stomach,SST168,BST6,NA,BST6-NA,NA,collected,N,NA,NA,183
U184,stomach,SST179,BST6,NA,BST6-NA,NA,collected,N,NA,NA,184
U185,stomach,SST180,BST6,NA,BST6-NA,NA,collected,N,NA,NA,185
U186,stomach,SST181,BST6,NA,BST6-NA,NA,collected,N,NA,NA,186
U187,stomach,SST182,BST6,NA,BST6-NA,NA,collected,N,NA,NA,187
U188,stomach,SST183,BST6,NA,BST6-NA,NA,collected,N,NA,NA,188
U189,stomach,SST184,BST6,NA,BST6-NA,NA,collected,N,NA,NA,189
U190,stomach,SST195,BST6,NA,BST6-NA,NA,collected,N,NA,NA,190
U191,stomach,SST185,BST12,NA,BST12-NA,NA,collected,N,NA,NA,191
U192,stomach,SST187,BST12,NA,BST12-NA,NA,collected,N,NA,NA,192
U193,stomach,SST188,BST12,NA,BST12-NA,NA,collected,N,NA,NA,193
U194,stomach,SST189,BST12,NA,BST12-NA,NA,collected,N,NA,NA,194
U195,stomach,SST190,BST12,NA,BST12-NA,NA,collected,N,NA,NA,195
U196,stomach,SST196,BST12,NA,BST12-NA,NA,collected,N,NA,NA,196
U197,stomach,SST197,BST12,NA,BST12-NA,NA,collected,N,NA,NA,197
U198,stomach,SST198,BST12,NA,BST12-NA,NA,collected,N,NA,NA,198
U199,stomach,SST199,BST12,NA,BST12-NA,NA,collected,N,NA,NA,199
U200,stomach,SST205,BST12,NA,BST12-NA,NA,collected,N,NA,NA,200
U201,stomach,SST191,BST9,NA,BST9-NA,NA,collected,N,NA,NA,201
U202,stomach,SST192,BST9,NA,BST9-NA,NA,collected,N,NA,NA,202
U203,stomach,SST193,BST9,NA,BST9-NA,NA,collected,N,NA,NA,203
U204,stomach,SST194,BST9,NA,BST9-NA,NA,collected,N,NA,NA,204
U205,stomach,SST200,BST9,NA,BST9-NA,NA,collected,N,NA,NA,205
U206,stomach,SST201,BST9,NA,BST9-NA,NA,collected,N,NA,NA,206
U207,stomach,SST206,BST9,NA,BST9-NA,NA,collected,N,NA,NA,207
U208,stomach,SST207,BST9,NA,BST9-NA,NA,collected,N,NA,NA,208
U209,stomach,SST208,BST9,NA,BST9-NA,NA,collected,N,NA,NA,209
U210,stomach,SST209,BST9,NA,BST9-NA,NA,being processed,N,NA,NA,210
U211,stomach,SST202,BST10,NA,BST10-NA,NA,collected,N,NA,NA,211
U212,stomach,SST203,BST10,NA,BST10-NA,NA,collected,N,NA,NA,212
U213,stomach,SST210,BST10,NA,BST10-NA,NA,collected,N,NA,NA,213
U214,stomach,SST211,BST10,NA,BST10-NA,NA,collected,N,NA,NA,214
U215,stomach,SST212,BST10,NA,BST10-NA,NA,collected,N,NA,NA,215
U216,stomach,SST213,BST10,NA,BST10-NA,NA,being processed,N,NA,NA,216
U217,stomach,SST214,BST10,NA,BST10-NA,NA,being processed,N,NA,NA,217
U218,stomach,SST222,BST10,NA,BST10-NA,NA,being processed,N,NA,NA,218
U219,stomach,SST223,BST10,NA,BST10-NA,NA,being processed,N,NA,NA,219
U220,stomach,SST224,BST10,NA,BST10-NA,NA,being processed,N,NA,NA,220
U221,stomach,SST225,BST10,NA,BST10-NA,NA,being processed,N,NA,NA,221
U222,stomach,SST226,BST10,NA,BST10-NA,NA,being processed,N,NA,NA,222
U223,stomach,SST227,BST10,NA,BST10-NA,NA,collected,N,NA,NA,223
U224,stomach,SST248,BST10,NA,BST10-NA,NA,collected,N,NA,NA,224
U225,stomach,SST249,BST10,NA,BST10-NA,NA,collected,N,NA,NA,225
U226,stomach,SST250,BST10,NA,BST10-NA,NA,collected,N,NA,NA,226
U227,stomach,SST251,BST10,NA,BST10-NA,NA,collected,N,NA,NA,227
U228,stomach,SST252,BST10,NA,BST10-NA,NA,collected,N,NA,NA,228
U229,stomach,SST253,BST10,NA,BST10-NA,NA,collected,N,NA,NA,229
U230,stomach,SST264,BST10,NA,BST10-NA,NA,collected,N,NA,NA,230
U231,stomach,SST215,BST12,NA,BST12-NA,NA,collected,N,NA,NA,231
U232,stomach,SST216,BST12,NA,BST12-NA,NA,collected,N,NA,NA,232
U233,stomach,SST217,BST12,NA,BST12-NA,NA,being processed,N,NA,NA,233
U234,stomach,SST218,BST12,NA,BST12-NA,NA,being processed,N,NA,NA,234
U235,stomach,SST219,BST12,NA,BST12-NA,NA,being processed,N,NA,NA,235
U236,stomach,SST228,BST12,NA,BST12-NA,NA,being processed,N,NA,NA,236
U237,stomach,SST229,BST12,NA,BST12-NA,NA,being processed,N,NA,NA,237
U238,stomach,SST230,BST12,NA,BST12-NA,NA,being processed,N,NA,NA,238
U239,stomach,SST231,BST12,NA,BST12-NA,NA,being processed,N,NA,NA,239
U240,stomach,SST232,BST12,NA,BST12-NA,NA,collected,N,NA,NA,240
U241,stomach,SST220,BST9,NA,BST9-NA,NA,being processed,N,NA,NA,241
U242,stomach,SST233,BST9,NA,BST9-NA,NA,being processed,N,NA,NA,242
U243,stomach,SST234,BST9,NA,BST9-NA,NA,being processed,N,NA,NA,243
U244,stomach,SST235,BST9,NA,BST9-NA,NA,being processed,N,NA,NA,244
U245,stomach,SST236,BST9,NA,BST9-NA,NA,collected,N,NA,NA,245
U246,stomach,SST237,BST11,NA,BST11-NA,NA,collected,N,NA,NA,246
U247,stomach,SST238,BST11,NA,BST11-NA,NA,collected,N,NA,NA,247
U248,stomach,SST239,BST11,NA,BST11-NA,NA,collected,N,NA,NA,248
U249,stomach,SST240,BST11,NA,BST11-NA,NA,collected,N,NA,NA,249
U250,stomach,SST241,BST11,NA,BST11-NA,NA,collected,N,NA,NA,250
U251,stomach,SST242,BST12,NA,BST12-NA,NA,collected,N,NA,NA,251
U252,stomach,SST243,BST12,NA,BST12-NA,NA,collected,N,NA,NA,252
U253,stomach,SST244,BST12,NA,BST12-NA,NA,collected,N,NA,NA,253
U254,stomach,SST245,BST12,NA,BST12-NA,NA,collected,N,NA,NA,254
U255,stomach,SST246,BST14,NA,BST14-NA,NA,collected,N,NA,NA,255
U256,stomach,SST254,BST14,NA,BST14-NA,NA,collected,N,NA,NA,256
U257,stomach,SST255,BST14,NA,BST14-NA,NA,collected,N,NA,NA,257
U258,stomach,SST256,BST14,NA,BST14-NA,NA,collected,N,NA,NA,258
U259,stomach,SST257,BST14,NA,BST14-NA,NA,collected,N,NA,NA,259
U260,stomach,SST258,BST14,NA,BST14-NA,NA,collected,N,NA,NA,260
U261,stomach,SST259,BST11,NA,BST11-NA,NA,collected,N,NA,NA,261
U262,stomach,SST260,BST11,NA,BST11-NA,NA,collected,N,NA,NA,262
U263,stomach,SST261,BST11,NA,BST11-NA,NA,collected,N,NA,NA,263
U264,stomach,SST262,BST11,NA,BST11-NA,NA,collected,N,NA,NA,264
U265,stomach,SST263,BST11,NA,BST11-NA,NA,collected,N,NA,NA,265
U266,stomach,SST276,BST11,NA,BST11-NA,NA,being processed,N,NA,NA,266
U267,stomach,SST277,BST11,NA,BST11-NA,NA,being processed,N,NA,NA,267
U268,stomach,SST278,BST11,NA,BST11-NA,NA,collected,N,NA,NA,268
U269,stomach,SST279,BST11,NA,BST11-NA,NA,collected,N,NA,NA,269
U270,stomach,SST280,BST11,NA,BST11-NA,NA,collected,N,NA,NA,270
U271,stomach,SST265,BST14,NA,BST14-NA,NA,being processed,N,NA,NA,271
U272,stomach,SST266,BST14,NA,BST14-NA,NA,collected,N,NA,NA,272
U273,stomach,SST267,BST14,NA,BST14-NA,NA,collected,N,NA,NA,273
U274,stomach,SST268,BST14,NA,BST14-NA,NA,collected,N,NA,NA,274
U275,stomach,SST281,BST14,NA,BST14-NA,NA,being processed,N,NA,NA,275
U276,stomach,SST282,BST14,NA,BST14-NA,NA,being processed,N,NA,NA,276
U277,stomach,SST283,BST14,NA,BST14-NA,NA,being processed,N,NA,NA,277
U278,stomach,SST284,BST14,NA,BST14-NA,NA,collected,N,NA,NA,278
U279,stomach,SST285,BST14,NA,BST14-NA,NA,collected,N,NA,NA,279
U280,stomach,SST292,BST14,NA,BST14-NA,NA,collected,N,NA,NA,280
U281,stomach,SST269,BST10,NA,BST10-NA,NA,collected,N,NA,NA,281
U284,stomach,SST272,BST10,NA,BST10-NA,NA,collected,N,NA,NA,284
U285,stomach,SST273,BST10,NA,BST10-NA,NA,collected,N,NA,NA,285
U286,stomach,SST274,BST15,NA,BST15-NA,NA,collected,N,NA,NA,286
U287,stomach,SST286,BST15,NA,BST15-NA,NA,being processed,N,NA,NA,287
U288,stomach,SST287,BST15,NA,BST15-NA,NA,being processed,N,NA,NA,288
U289,stomach,SST288,BST15,NA,BST15-NA,NA,being processed,N,NA,NA,289
U290,stomach,SST289,BST15,NA,BST15-NA,NA,collected,N,NA,NA,290
U291,stomach,SST290,BST15,NA,BST15-NA,NA,collected,N,NA,NA,291
U292,stomach,SST293,BST15,NA,BST15-NA,NA,being processed,N,NA,NA,292
U293,stomach,SST294,BST15,NA,BST15-NA,NA,being processed,N,NA,NA,293
U294,stomach,SST295,BST15,NA,BST15-NA,NA,being processed,N,NA,NA,294
U295,stomach,SST296,BST15,NA,BST15-NA,NA,being processed,N,NA,NA,295
U296,stomach,SST297,BST15,NA,BST15-NA,NA,collected,N,NA,NA,296
U297,stomach,SST298,BST15,NA,BST15-NA,NA,collected,N,NA,NA,297
U298,stomach,SST308,BST15,NA,BST15-NA,NA,collected,N,NA,NA,298
U299,stomach,SST309,BST15,NA,BST15-NA,NA,collected,N,NA,NA,299
U300,stomach,SST310,BST15,NA,BST15-NA,NA,collected,N,NA,NA,300
U301,stomach,SST299,BST14,NA,BST14-NA,NA,being processed,N,NA,NA,301
U302,stomach,SST300,BST14,NA,BST14-NA,NA,being processed,N,NA,NA,302
U303,stomach,SST301,BST14,NA,BST14-NA,NA,being processed,N,NA,NA,303
U304,stomach,SST302,BST14,NA,BST14-NA,NA,collected,N,NA,NA,304
U305,stomach,SST303,BST14,NA,BST14-NA,NA,collected,N,NA,NA,305
U306,stomach,SST311,BST14,NA,BST14-NA,NA,collected,N,NA,NA,306
U307,stomach,SST312,BST14,NA,BST14-NA,NA,collected,N,NA,NA,307
U308,stomach,SST313,BST14,NA,BST14-NA,NA,collected,N,NA,NA,308
U309,stomach,SST314,BST14,NA,BST14-NA,NA,collected,N,NA,NA,309
U310,stomach,SST315,BST16,NA,BST16-NA,NA,collected,N,NA,NA,310
U311,stomach,SST304,BST11,NA,BST11-NA,NA,being processed,N,NA,NA,311
U312,stomach,SST305,BST11,NA,BST11-NA,NA,being processed,N,NA,NA,312
U313,stomach,SST306,BST11,NA,BST11-NA,NA,being processed,N,NA,NA,313
U315,stomach,SST307,BST11,NA,BST11-NA,NA,collected,N,NA,NA,315
U316,stomach,SST316,BST11,NA,BST11-NA,NA,collected,N,NA,NA,316
U317,stomach,SST317,BST11,NA,BST11-NA,NA,collected,N,NA,NA,317
U318,stomach,SST318,BST11,NA,BST11-NA,NA,collected,N,NA,NA,318
U319,stomach,SST319,BST11,NA,BST11-NA,NA,collected,N,NA,NA,319
U320,stomach,SST320,BST11,NA,BST11-NA,NA,collected,N,NA,NA,320
U321,stomach,SST321,BST7,NA,BST7-NA,NA,collected,N,NA,NA,321
U322,stomach,SST407,BST7,NA,BST7-NA,NA,collected,N,NA,NA,322
U323,stomach,SST408,BST7,NA,BST7-NA,NA,collected,N,NA,NA,323
U324,stomach,SST409,BST7,NA,BST7-NA,NA,collected,N,NA,NA,324
U325,stomach,SST410,BST7,NA,BST7-NA,NA,collected,N,NA,NA,325
U326,stomach,SST415,BST7,NA,BST7-NA,NA,collected,N,NA,NA,326
U327,stomach,SST427,BST7,NA,BST7-NA,NA,collected,N,NA,NA,327
U328,stomach,SST453,BST7,NA,BST7-NA,NA,collected,N,NA,NA,328
U329,stomach,SST571,BST7,NA,BST7-NA,NA,collected,N,NA,NA,329
U330,stomach,SST572,BST7,NA,BST7-NA,NA,collected,N,NA,NA,330
U331,stomach,SST322,BST15,NA,BST15-NA,NA,collected,N,NA,NA,331
U332,stomach,SST323,BST15,NA,BST15-NA,NA,collected,N,NA,NA,332
U333,stomach,SST324,BST15,NA,BST15-NA,NA,collected,N,NA,NA,333
U334,stomach,SST325,BST15,NA,BST15-NA,NA,collected,N,NA,NA,334
U335,stomach,SST327,BST15,NA,BST15-NA,NA,collected,N,NA,NA,335
U336,stomach,SST328,BST15,NA,BST15-NA,NA,collected,N,NA,NA,336
U337,stomach,SST329,BST15,NA,BST15-NA,NA,collected,N,NA,NA,337
U338,stomach,SST330,BST15,NA,BST15-NA,NA,collected,N,NA,NA,338
U339,stomach,SST331,BST15,NA,BST15-NA,NA,collected,N,NA,NA,339
U340,stomach,SST332,BST15,NA,BST15-NA,NA,collected,N,NA,NA,340
U341,stomach,SST326,BST16,NA,BST16-NA,NA,collected,N,NA,NA,341
U342,stomach,SST333,BST16,NA,BST16-NA,NA,collected,N,NA,NA,342
U343,stomach,SST334,BST16,NA,BST16-NA,NA,collected,N,NA,NA,343
U344,stomach,SST335,BST16,NA,BST16-NA,NA,collected,N,NA,NA,344
