ufn,sample_type,sample_id,container_id,container_cell,sample_location,comments_sample,sample_status,sample_qc_flag,sample_flag_reason,sample_qc_log,ufn_sort
U01,stomach,SST1,BST1,NA,BST1-NA,NA,collected,N,NA,NA,1
U02,stomach,SST4,BST1,NA,BST1-NA,NA,collected,N,NA,NA,2
U03,stomach,SST6,BST1,NA,BST1-NA,NA,collected,N,NA,NA,3
U04,stomach,SST9,BST1,NA,BST1-NA,NA,collected,N,NA,NA,4
U05,stomach,SST10,BST1,NA,BST1-NA,NA,collected,N,NA,NA,5
U07,stomach,SST17,BST1,NA,BST1-NA,NA,collected,N,NA,NA,7
U08,stomach,SST18,BST1,NA,BST1-NA,NA,collected,N,NA,NA,8
U09,stomach,SST19,BST1,NA,BST1-NA,NA,collected,N,NA,NA,9
U10,stomach,SST20,BST1,NA,BST1-NA,NA,collected,N,NA,NA,10
U11,stomach,SST2,BST2,NA,BST2-NA,NA,collected,N,NA,NA,11
U12,stomach,SST3,BST2,NA,BST2-NA,NA,collected,N,NA,NA,12
U13,stomach,SST5,BST2,NA,BST2-NA,NA,collected,N,NA,NA,13
U14,stomach,SST7,BST2,NA,BST2-NA,NA,collected,N,NA,NA,14
U15,stomach,SST8,BST2,NA,BST2-NA,NA,collected,N,NA,NA,15
U16,stomach,SST12,BST2,NA,BST2-NA,NA,collected,N,NA,NA,16
U17,stomach,SST21,BST2,NA,BST2-NA,NA,collected,N,NA,NA,17
U18,stomach,SST32,BST2,NA,BST2-NA,NA,collected,N,NA,NA,18
U19,stomach,SST40,BST2,NA,BST2-NA,NA,collected,N,NA,NA,19
U20,stomach,SST63,BST2,NA,BST2-NA,NA,collected,N,NA,NA,20
U21,stomach,SST13,BST3,NA,BST3-NA,NA,collected,N,NA,NA,21
U22,stomach,SST14,BST3,NA,BST3-NA,NA,collected,N,NA,NA,22
U23,stomach,SST22,BST3,NA,BST3-NA,NA,collected,N,NA,NA,23
U24,stomach,SST23,BST3,NA,BST3-NA,NA,collected,N,NA,NA,24
U25,stomach,SST24,BST3,NA,BST3-NA,NA,collected,N,NA,NA,25
U26,stomach,SST33,BST3,NA,BST3-NA,NA,collected,N,NA,NA,26
U27,stomach,SST34,BST3,NA,BST3-NA,NA,collected,N,NA,NA,27
U28,stomach,SST41,BST3,NA,BST3-NA,NA,collected,N,NA,NA,28
U29,stomach,SST42,BST3,NA,BST3-NA,NA,collected,N,NA,NA,29
U30,stomach,SST43,BST3,NA,BST3-NA,NA,collected,N,NA,NA,30
U31,stomach,SST15,BST4,NA,BST4-NA,NA,collected,N,NA,NA,31
U32,stomach,SST16,BST4,NA,BST4-NA,NA,collected,N,NA,NA,32
U33,stomach,SST25,BST4,NA,BST4-NA,NA,collected,N,NA,NA,33
U34,stomach,SST26,BST4,NA,BST4-NA,NA,collected,N,NA,NA,34
U35,stomach,SST27,BST4,NA,BST4-NA,NA,collected,N,NA,NA,35
U36,stomach,SST28,BST4,NA,BST4-NA,NA,collected,N,NA,NA,36
U37,stomach,SST35,BST4,NA,BST4-NA,NA,collected,N,NA,NA,37
U38,stomach,SST36,BST4,NA,BST4-NA,NA,collected,N,NA,NA,38
U40,stomach,SST45,BST4,NA,BST4-NA,NA,collected,N,NA,NA,40
U41,stomach,SST29,BST1,NA,BST1-NA,NA,collected,N,NA,NA,41
U42,stomach,SST30,BST1,NA,BST1-NA,NA,collected,N,NA,NA,42
U43,stomach,SST31,BST1,NA,BST1-NA,NA,collected,N,NA,NA,43
U45,stomach,SST38,BST1,NA,BST1-NA,NA,collected,N,NA,NA,45
U46,stomach,SST39,BST1,NA,BST1-NA,NA,collected,N,NA,NA,46
U47,stomach,SST46,BST1,NA,BST1-NA,NA,collected,N,NA,NA,47
U48,stomach,SST47,BST1,NA,BST1-NA,NA,collected,N,NA,NA,48
U49,stomach,SST48,BST1,NA,BST1-NA,NA,collected,N,NA,NA,49
U50,stomach,SST49,BST1,NA,BST1-NA,NA,collected,N,NA,NA,50
U51,stomach,SST50,BST4,NA,BST4-NA,NA,collected,N,NA,NA,51
U52,stomach,SST51,BST4,NA,BST4-NA,NA,collected,N,NA,NA,52
U53,stomach,SST54,BST4,NA,BST4-NA,NA,collected,N,NA,NA,53
U54,stomach,SST55,BST4,NA,BST4-NA,NA,collected,N,NA,NA,54
U55,stomach,SST64,BST4,NA,BST4-NA,NA,collected,N,NA,NA,55
U56,stomach,SST65,BST4,NA,BST4-NA,NA,collected,N,NA,NA,56
U57,stomach,SST66,BST4,NA,BST4-NA,NA,collected,N,NA,NA,57
U58,stomach,SST67,BST4,NA,BST4-NA,NA,collected,N,NA,NA,58
U59,stomach,SST74,BST4,NA,BST4-NA,NA,collected,N,NA,NA,59
U60,stomach,SST68,BST4,NA,BST4-NA,NA,collected,N,NA,NA,60
U61,stomach,SST52,BST3,NA,BST3-NA,NA,collected,N,NA,NA,61
U62,stomach,SST53,BST3,NA,BST3-NA,NA,collected,N,NA,NA,62
U63,stomach,SST56,BST3,NA,BST3-NA,NA,collected,N,NA,NA,63
U64,stomach,SST69,BST3,NA,BST3-NA,NA,collected,N,NA,NA,64
U65,stomach,SST70,BST3,NA,BST3-NA,NA,collected,N,NA,NA,65
U66,stomach,SST71,BST3,NA,BST3-NA,NA,collected,N,NA,NA,66
U68,stomach,SST76,BST3,NA,BST3-NA,NA,collected,N,NA,NA,68
U69,stomach,SST77,BST3,NA,BST3-NA,NA,collected,N,NA,NA,69
U70,stomach,SST78,BST3,NA,BST3-NA,NA,collected,N,NA,NA,70
U71,stomach,SST57,BST1,NA,BST1-NA,NA,collected,N,NA,NA,71
U72,stomach,SST58,BST1,NA,BST1-NA,NA,collected,N,NA,NA,72
U73,stomach,SST59,BST1,NA,BST1-NA,NA,collected,N,NA,NA,73
U74,stomach,SST72,BST1,NA,BST1-NA,NA,collected,N,NA,NA,74
U75,stomach,SST73,BST1,NA,BST1-NA,NA,collected,N,NA,NA,75
U76,stomach,SST79,BST5,NA,BST5-NA,NA,collected,N,NA,NA,76
U77,stomach,SST80,BST5,NA,BST5-NA,NA,collected,N,NA,NA,77
U78,stomach,SST81,BST5,NA,BST5-NA,NA,collected,N,NA,NA,78
U79,stomach,SST82,BST5,NA,BST5-NA,NA,collected,N,NA,NA,79
U80,stomach,SST83,BST5,NA,BST5-NA,NA,collected,N,NA,NA,80
U81,stomach,SST84,BST2,NA,BST2-NA,NA,collected,N,NA,NA,81
U82,stomach,SST87,BST2,NA,BST2-NA,NA,collected,N,NA,NA,82
U83,stomach,SST88,BST2,NA,BST2-NA,NA,collected,N,NA,NA,83
U84,stomach,SST89,BST2,NA,BST2-NA,NA,collected,N,NA,NA,84
U85,stomach,SST90,BST2,NA,BST2-NA,NA,collected,N,NA,NA,85
U86,stomach,SST99,BST2,NA,BST2-NA,NA,collected,N,NA,NA,86
U87,stomach,SST100,BST2,NA,BST2-NA,NA,collected,N,NA,NA,87
U88,stomach,SST101,BST2,NA,BST2-NA,NA,collected,N,NA,NA,88
U89,stomach,SST102,BST2,NA,BST2-NA,NA,collected,N,NA,NA,89
U90,stomach,SST103,BST2,NA,BST2-NA,NA,collected,N,NA,NA,90
U91,stomach,SST85,BST3,NA,BST3-NA,NA,collected,N,NA,NA,91
U92,stomach,SST86,BST3,NA,BST3-NA,NA,collected,N,NA,NA,92
U93,stomach,SST91,BST3,NA,BST3-NA,NA,collected,N,NA,NA,93
U94,stomach,SST92,BST3,NA,BST3-NA,NA,collected,N,NA,NA,94
U95,stomach,SST93,BST3,NA,BST3-NA,NA,collected,N,NA,NA,95
U96,stomach,SST94,BST8,NA,BST8-NA,NA,collected,N,NA,NA,96
U97,stomach,SST95,BST8,NA,BST8-NA,NA,collected,N,NA,NA,97
U98,stomach,SST96,BST8,NA,BST8-NA,NA,collected,N,NA,NA,98
U99,stomach,SST123,BST8,NA,BST8-NA,NA,collected,N,NA,NA,99
U100,stomach,SST120,BST8,NA,BST8-NA,NA,collected,N,NA,NA,100
U101,stomach,SST60,BST4,NA,BST4-NA,NA,collected,N,NA,NA,101
U102,stomach,SST61,BST4,NA,BST4-NA,NA,collected,N,NA,NA,102
U103,stomach,SST62,BST4,NA,BST4-NA,NA,collected,N,NA,NA,103
U104,stomach,SST104,BST4,NA,BST4-NA,NA,collected,N,NA,NA,104
U105,stomach,SST105,BST4,NA,BST4-NA,NA,collected,N,NA,NA,105
U106,stomach,SST106,BST6,NA,BST6-NA,NA,collected,N,NA,NA,106
U107,stomach,SST107,BST6,NA,BST6-NA,NA,collected,N,NA,NA,107
U108,stomach,SST108,BST6,NA,BST6-NA,NA,collected,N,NA,NA,108
U109,stomach,SST116,BST6,NA,BST6-NA,NA,collected,N,NA,NA,109
U110,stomach,SST121,BST6,NA,BST6-NA,NA,collected,N,NA,NA,110
U111,stomach,SST97,BST5,NA,BST5-NA,NA,collected,N,NA,NA,111
U112,stomach,SST98,BST5,NA,BST5-NA,NA,collected,N,NA,NA,112
U113,stomach,SST109,BST5,NA,BST5-NA,NA,collected,N,NA,NA,113
U114,stomach,SST110,BST5,NA,BST5-NA,NA,collected,N,NA,NA,114
U115,stomach,SST111,BST5,NA,BST5-NA,NA,collected,N,NA,NA,115
U116,stomach,SST112,BST5,NA,BST5-NA,NA,collected,N,NA,NA,116
U117,stomach,SST117,BST5,NA,BST5-NA,NA,collected,N,NA,NA,117
U118,stomach,SST118,BST5,NA,BST5-NA,NA,collected,N,NA,NA,118
U119,stomach,SST122,BST5,NA,BST5-NA,NA,collected,N,NA,NA,119
U120,stomach,SST124,BST5,NA,BST5-NA,NA,collected,N,NA,NA,120
U121,stomach,SST113,BST2,NA,BST2-NA,NA,collected,N,NA,NA,121
U122,stomach,SST114,BST2,NA,BST2-NA,NA,collected,N,NA,NA,122
